Strategy report
Symbol: AAL
Work Time: 5/11/20 9:45 AM - 5/18/20 2:37 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;cus_BVB_DVI(@,bto,,9.82,9.8,9.765,9.8,9.79,9.7609,9.73,9.73,9.7398,9.74,9.735,9.725,9.7381,9.7719,9.795,10.085,9.9619,0.1535,48.2988,40.023,43.5067,43.5067,39.5063,-1.155,-1.2343,-1.1955,-1.1955,-1.1072,0,0,-0.9794,-1.4123,-1.216,-1.2333,-1.4337,1.3628,0.84,0.8333,0.8367,1.3628,1.3519,1.3573,3,093,667.2706,2,990,001.1906,2,967,527.5997,2,604,285.8983,0.0657,0.0661,0.0653,0.0576,43.5845,44.7622,46.6396,38.0729,-0.0702,-0.0775,-0.0971,-0.0761,290.93,290.82,-1,442,-1,455,-0.176,-0.478,-62.8921,-56.9117,-43.5467,368.5387,);Buy to Open;1.0;$9.82;5/11/20 9:45 AM;;($0.02);1.0;
2;cus_BVB_Stochastic(SLE);Sell to Close;-1.0;$9.73;5/11/20 10:00 AM;($0.10);($0.10);0.0;
3;cus_BVB_DVI(@,bto,,9.821,9.825,9.83,9.82,9.825,9.8219,9.835,9.825,9.8281,9.8301,9.83,9.81,9.771,9.99,10.1419,9.9485,10.085,0.4361,73.8257,67.8365,66.4443,61.171,58.9742,-1.2664,-1.368,-1.4077,-1.4521,-1.466,1,0,-0.9385,-1.1694,-1.2388,-1.3969,-1.4492,1.7472,1,0.6667,0.8333,1.7472,1.1648,1.456,2,947,999.2819,2,815,090.2819,2,655,983.7285,2,709,576.1711,0.0277,0.0276,0.0294,0.0346,15.9791,14.5042,12.8436,14.7501,0.022,0.0189,0.0142,0.0151,291.19,290.94,-1,478,-1,547,0.285,-0.364,-147.9504,-151.807,-146.6981,-116.3051,);Buy to Open;1.0;$9.82;5/11/20 11:06 AM;;($0.09);1.0;
4;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$9.82;5/11/20 11:10 AM;$0.00;($0.10);0.0;
5;cus_BVB_DVI(@,bto,,9.85,9.8701,9.8781,9.85,9.855,9.86,9.89,9.885,9.875,9.895,9.9199,9.9262,9.9581,10.16,10.065,9.975,9.9481,0.4377,73.8073,67.0806,61.8745,59.7129,57.5748,-1.1135,-1.2209,-1.3034,-1.3163,-1.3677,1,0,-0.8656,-1.0689,-1.178,-1.212,-1.2607,1.8462,1,1,1,1.8462,1.8462,1.8462,3,147,947.3596,3,007,501.3596,2,722,837.2396,2,764,810.3726,0.0234,0.0231,0.0225,0.0212,21.0182,19.8735,21.5849,23.0714,0.0102,0.0069,0.0002,0.0098,291.89,291.54,-1,386,-1,427,0.24,0.14,-163.3388,-165.333,-163.445,-136.6705,);Buy to Open;1.0;$9.85;5/11/20 11:33 AM;;($0.08);1.0;
6;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$9.85;5/11/20 11:36 AM;$0.00;($0.10);0.0;
7;cus_BVB_DVI(@,bto,,9.885,9.885,9.875,9.895,9.9199,9.9345,9.92,9.91,9.9138,9.9262,9.9281,9.975,9.95,10.1219,10.02,9.9019,9.925,0.3474,72.3818,63.3361,61.4664,59.6367,78.1817,-0.9751,-1.0476,-0.992,-1.006,-0.9752,1,0,-0.5678,-0.8575,-0.8949,-0.9421,-0.6772,1.2462,0.6568,0.8225,0.7396,1.2462,1.5606,1.4034,3,328,993.2485,3,234,191.3669,3,226,426.8396,2,815,499.2396,0.0255,0.0247,0.0239,0.0234,26.3285,25.1186,22.7279,20.4524,0.0198,0.0173,0.0136,0.0016,291.9,291.82,-1,330,-1,384,0.174,-0.082,-163.6523,-163.6554,-164.7106,-140.0745,);Buy to Open;1.0;$9.89;5/11/20 11:39 AM;;($0.10);1.0;
8;cus_BVB_DVI;Sell to Close;-1.0;$9.94;5/11/20 11:44 AM;$0.05;($0.05);0.0;
9;cus_BVB_DVI(@,bto,,9.925,9.948,9.9581,9.975,9.9795,9.99,9.9719,9.9619,9.95,9.925,9.95,10.03,10.025,10.195,10.032,9.91,9.945,0.2843,65.0379,57.9349,69.2533,68.6824,64.9018,-0.7341,-0.7973,-0.7393,-0.7726,-0.807,0,0,-0.126,-0.3503,-0.1714,-0.2243,-0.3326,1.0876,1,0.5,0.75,1.0876,0.5438,0.8157,3,644,319.3484,3,561,584.3484,3,500,159.5614,3,275,670.209,0.0245,0.0249,0.0258,0.0246,35.926,35.6823,34.311,27.896,0.0273,0.0273,0.0288,0.0211,291.78,291.79,-1,278,-1,316,0.106,0.204,-165.0613,-165.9757,-164.3867,-151.807,);Buy to Open;1.0;$9.93;5/11/20 11:51 AM;;($0.02);1.0;
10;cus_BVB_PSARX(PSARLX);Sell to Close;-1.0;$9.92;5/11/20 12:00 PM;($0.01);($0.05);0.0;
