Strategy report
Symbol: SHOP
Work Time: 5/11/20 9:39 AM - 5/15/20 2:31 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;cus_BVB_DVI(@,bto,,720.58,723.1227,723.8,722.27,722.875,721.0552,719.895,723,721.09,720.8975,723.322,725.7501,725.8667,731.5499,735.11,734.98,745.6598,0.4138,69.2367,62.1832,59.087,63.5091,67.3516,-0.1308,-0.4113,-0.211,-0.1328,-0.1989,0,0,2.0681,1.6168,1.4771,1.7404,1.9133,1.9265,);Buy to Open;1.0;$720.58;5/11/20 9:39 AM;;$2.54;1.0;
2;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$722.50;5/11/20 9:42 AM;$1.92;$1.92;0.0;
3;cus_BVB_DVI(@,bto,,728.0945,730.4866,732.6421,732.255,732.308,732.6683,732.535,732.53,732.25,735.4201,736,733.55,732.3357,733.4999,731.1374,735.72,745.55,0.699,65.4709,60.72,58.7784,60.3599,66.1806,0.1302,0.2082,0.2182,0.0914,0.085,0,0,3.0843,2.9635,2.9236,2.9447,3.0666,0.0824,);Buy to Open;1.0;$728.09;5/11/20 10:01 AM;;$4.31;1.0;
4;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$732.56;5/11/20 10:09 AM;$4.47;$6.39;0.0;
5;cus_BVB_DVI(@,bto,,735.4012,735.2151,735.305,736.485,733.5608,733.55,733.6509,732.0401,731.99,731.95,732.3357,734.48,729,729.7886,728.1,736.5988,749.265,0.4043,83.07,81.9041,72.8036,75.7963,75.8458,0.8138,0.931,0.6569,0.4921,0.4291,1,0,4.0999,4.0493,3.6125,3.629,3.6002,0.2584,);Buy to Open;1.0;$735.40;5/11/20 10:11 AM;;$6.20;1.0;
6;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$733.57;5/11/20 10:15 AM;($1.83);$4.56;0.0;
7;cus_BVB_DVI(@,bto,,736.6621,736.1201,736.715,736.5,735.81,736.54,736.7947,736.69,737.135,736.6533,736.9911,736.9652,743.2083,746.5605,748.99,762.885,764.25,0.4298,68.4468,60.4319,49.4905,37.4725,38.2335,0.0324,0.0108,-0.0113,0.0225,0.1088,0,0,3.3187,3.2596,3.1655,3.1241,3.1118,0.0851,);Buy to Open;1.0;$736.66;5/11/20 1:53 PM;;$4.02;1.0;
8;cus_BVB_PSARX(PSARLX);Sell to Close;-1.0;$736.90;5/11/20 2:07 PM;$0.24;$4.80;0.0;
9;cus_BVB_DVI(@,bto,,740.495,740.8745,742.9531,743.2083,743.1201,741.5899,740.9,741.2199,741.06,738.83,739.6,741.82,741.3,744.895,751.545,763.665,767.8799,1.4781,83.3462,74.1034,57.071,51.9177,56.2651,0.6613,0.236,0.1365,0.1075,0.0712,1,0,4.0927,3.8181,3.6064,3.5917,3.62,2.6635,);Buy to Open;1.0;$740.50;5/11/20 2:10 PM;;$5.18;1.0;
10;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$741.19;5/11/20 2:15 PM;$0.70;$5.49;0.0;
