Strategy report
Symbol: AAL
Work Time: 5/11/20 9:32 AM - 5/18/20 3:55 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;cus_BSR_CX(sto@9.79);Sell to Open;-1.0;$9.79;5/11/20 9:32 AM;;($0.01);-1.0;
2;cus_BVB_DMI(DMI_SX);Buy to Close;1.0;$9.78;5/11/20 9:37 AM;$0.01;$0.01;0.0;
3;cus_BSR_CX(sto@9.745);Sell to Open;-1.0;$9.74;5/11/20 9:40 AM;;($0.01);-1.0;
4;cus_BVB_PSARX(PSARSX);Buy to Close;1.0;$9.75;5/11/20 10:01 AM;($0.01);$0.01;0.0;
5;cus_BSR_CX(bto@9.7);Buy to Open;1.0;$9.70;5/11/20 10:27 AM;;$0.01;1.0;
6;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$9.71;5/11/20 10:28 AM;$0.01;$0.02;0.0;
7;cus_BSR_CX(sto@9.7);Sell to Open;-1.0;$9.70;5/11/20 10:41 AM;;($0.01);-1.0;
8;cus_BSR_CX(btc@9.7081);Buy to Close;1.0;$9.71;5/11/20 10:42 AM;($0.01);$0.01;0.0;
9;cus_BSR_CX(bto@9.715);Buy to Open;1.0;$9.72;5/11/20 10:45 AM;;$0.02;1.0;
10;cus_BVB_PSARX(PSARLX);Sell to Close;-1.0;$9.71;5/11/20 10:47 AM;$0.00;$0.00;0.0;
11;cus_BVB_DVI(@,bto,,9.821,9.825,9.83,9.82,9.825,9.8219,9.835,9.825,9.8281,9.8301,9.83,9.81,9.771,9.99,10.1419,9.9485,10.085,0.4361,73.8257,67.8365,66.4443,61.171,58.9742,-1.2664,-1.368,-1.4077,-1.4521,-1.466,1,0,-0.9385,-1.1694,-1.2388,-1.3969,-1.4492,1.7472,1,0.6667,0.8333,1.7472,1.1648,1.456,2,947,999.2819,2,815,090.2819,2,655,983.7285,2,709,576.1711,0.0277,0.0276,0.0294,0.0346,15.9791,14.5042,12.8436,14.7501,0.022,0.0189,0.0142,0.0151,291.19,290.94,-1,478,-1,547,0.285,-0.364,-147.9504,-151.807,-146.6981,-116.3051,);Buy to Open;1.0;$9.82;5/11/20 11:06 AM;;$0.01;1.0;
12;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$9.82;5/11/20 11:10 AM;$0.00;$0.00;0.0;
13;cus_BSR_CX(sto@9.825);Sell to Open;-1.0;$9.82;5/11/20 11:14 AM;;$0.00;-1.0;
14;cus_BVB_PSARX(PSARSX);Buy to Close;1.0;$9.82;5/11/20 11:29 AM;$0.01;$0.01;0.0;
15;cus_BSR_CX(bto@9.825);Buy to Open;1.0;$9.82;5/11/20 11:32 AM;;$0.05;1.0;
16;cus_BVB_DVI;Sell to Close;-1.0;$9.85;5/11/20 11:33 AM;$0.03;$0.04;0.0;
17;cus_BVB_DVI(@,bto,,9.885,9.885,9.875,9.895,9.9199,9.9345,9.92,9.91,9.9138,9.9262,9.9281,9.975,9.95,10.1219,10.02,9.9019,9.925,0.3474,72.3818,63.3361,61.4664,59.6367,78.1817,-0.9751,-1.0476,-0.992,-1.006,-0.9752,1,0,-0.5678,-0.8575,-0.8949,-0.9421,-0.6772,1.2462,0.6568,0.8225,0.7396,1.2462,1.5606,1.4034,3,328,993.2485,3,234,191.3669,3,226,426.8396,2,815,499.2396,0.0255,0.0247,0.0239,0.0234,26.3285,25.1186,22.7279,20.4524,0.0198,0.0173,0.0136,0.0016,291.9,291.82,-1,330,-1,384,0.174,-0.082,-163.6523,-163.6554,-164.7106,-140.0745,);Buy to Open;1.0;$9.89;5/11/20 11:39 AM;;$0.04;1.0;
18;cus_BVB_DVI;Sell to Close;-1.0;$9.94;5/11/20 11:44 AM;$0.05;$0.09;0.0;
19;cus_BVB_DVI(@,bto,,9.925,9.948,9.9581,9.975,9.9795,9.99,9.9719,9.9619,9.95,9.925,9.95,10.03,10.025,10.195,10.032,9.91,9.945,0.2843,65.0379,57.9349,69.2533,68.6824,64.9018,-0.7341,-0.7973,-0.7393,-0.7726,-0.807,0,0,-0.126,-0.3503,-0.1714,-0.2243,-0.3326,1.0876,1,0.5,0.75,1.0876,0.5438,0.8157,3,644,319.3484,3,561,584.3484,3,500,159.5614,3,275,670.209,0.0245,0.0249,0.0258,0.0246,35.926,35.6823,34.311,27.896,0.0273,0.0273,0.0288,0.0211,291.78,291.79,-1,278,-1,316,0.106,0.204,-165.0613,-165.9757,-164.3867,-151.807,);Buy to Open;1.0;$9.93;5/11/20 11:51 AM;;$0.11;1.0;
20;cus_BVB_PSARX(PSARLX);Sell to Close;-1.0;$9.92;5/11/20 12:00 PM;($0.01);$0.09;0.0;
21;cus_BVB_DVI(@,bto,,10.01,10.03,10.01,10.0181,10.035,10.03,10.025,10.0104,10.0031,10.01,10.0264,10.0999,10.23,10.1442,10.005,9.885,9.91,0.7744,72.1336,65.35,59.8168,54.2506,54.2506,-0.3664,-0.4628,-0.4869,-0.5095,-0.5093,0,0,0.6439,0.3842,0.2326,0.0368,-0.008,1.6582,0.5,0.685,0.5925,1.6582,2.2718,1.965,4,125,271.312,3,999,128.812,3,895,959.807,4,014,926.5226,0.0272,0.0262,0.0264,0.026,36.0394,35.2902,39.5987,40.1094,0.026,0.0234,0.0262,0.0334,291.89,291.9471,-1,198,-1,237,0.393,0.138,-161.7959,-164.5722,-163.7469,-154.4497,);Buy to Open;1.0;$10.01;5/11/20 12:05 PM;;$0.11;1.0;
22;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$10.17;5/11/20 12:27 PM;$0.16;$0.25;0.0;
23;cus_BSR_CX(sto@10.135);Sell to Open;-1.0;$10.14;5/11/20 12:36 PM;;$0.26;-1.0;
24;cus_BVB_PSARX(PSARSX);Buy to Close;1.0;$10.19;5/11/20 12:41 PM;($0.05);$0.19;0.0;
25;cus_BSR_CX(sto@10.1481);Sell to Open;-1.0;$10.15;5/11/20 12:56 PM;;$0.25;-1.0;
26;cus_BSR_CX(btc@10.0881);Buy to Close;1.0;$10.09;5/11/20 1:06 PM;$0.06;$0.25;0.0;
27;cus_BSR_CX(sto@10.045);Sell to Open;-1.0;$10.05;5/11/20 1:15 PM;;$0.28;-1.0;
28;cus_BVB_DMI(DMI_SX);Buy to Close;1.0;$10.03;5/11/20 1:20 PM;$0.02;$0.27;0.0;
29;cus_BSR_CX(sto@10.035);Sell to Open;-1.0;$10.04;5/11/20 1:32 PM;;$0.29;-1.0;
30;cus_BVB_DVI;Buy to Close;1.0;$9.99;5/11/20 1:36 PM;$0.04;$0.32;0.0;
31;cus_BSR_CX(bto@10.045);Buy to Open;1.0;$10.05;5/11/20 1:54 PM;;$0.32;1.0;
32;cus_BSR_CX(stc@10.056);Sell to Close;-1.0;$10.06;5/11/20 1:56 PM;$0.01;$0.33;0.0;
33;cus_BSR_CX(sto@10.005);Sell to Open;-1.0;$10.01;5/11/20 2:03 PM;;$0.35;-1.0;
34;cus_BVB_DMI(DMI_SX);Buy to Close;1.0;$9.97;5/11/20 2:09 PM;$0.04;$0.36;0.0;
35;cus_BSR_CX(sto@9.975);Sell to Open;-1.0;$9.98;5/11/20 2:20 PM;;$0.36;-1.0;
