Strategy report
Symbol: AAPL
Work Time: 4/20/20 10:25 AM - 5/15/20 3:37 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;cus_BVB_DVI(@,bto,,279.9916,280.39,280.593,280.31,280.373,280.35,280.6,280.95,281.0417,281.155,281.08,280.9,280.955,280.62,279.98,279.45,278.4256,0.2133,67.3245,60.1844,62.2101,62.0708,62.4951,0.311,0.2762,0.304,0.3256,0.3858,0,0,0.7923,0.7344,0.7585,0.7428,0.7534,0.6106,0.4118,0.8431,0.6275,0.6106,1.2503,0.9304,);Buy to Open;1.0;$279.99;4/20/20 10:25 AM;;$0.40;1.0;
2;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$280.40;4/20/20 10:29 AM;$0.41;$0.41;0.0;
3;cus_BVB_DVI(@,bto,,280.6,280.95,281.0417,281.155,281.08,280.91,281.1891,281.27,281.17,280.9,280.783,281.23,281.58,280.46,280.6023,279.97,278.25,0.2941,70.9812,66.3261,67.2078,66.1109,76.3013,0.4431,0.3731,0.4245,0.3901,0.4705,0,0,1.0248,0.9149,0.8973,0.909,0.9509,1.2286,0.871,0.7419,0.8065,1.2286,1.0466,1.1376,);Buy to Open;1.0;$280.60;4/20/20 10:31 AM;;$0.76;1.0;
4;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$280.91;4/20/20 10:36 AM;$0.31;$0.72;0.0;
5;cus_BVB_DVI(@,bto,,281.24,281.27,281.17,280.9,280.783,280.66,280.9001,280.7899,280.955,281.23,281.3803,281.465,281.4331,280.5,280.21,279.9515,278.61,0.13,72.6006,67.2659,75.1924,78.8354,77.3627,0.4835,0.4514,0.4909,0.5106,0.4958,0,0,1.2119,1.1076,1.1378,1.12,1.112,0.5623,0.8557,0.6778,0.7667,0.5623,0.4454,0.5038,);Buy to Open;1.0;$281.24;4/20/20 10:37 AM;;$0.75;1.0;
6;cus_BVB_PSARX(PSARLX);Sell to Close;-1.0;$280.77;4/20/20 10:41 AM;($0.47);$0.25;0.0;
7;cus_BVB_DVI(@,sto,,279.96,280.092,280.1355,280,280.23,280.9,280.75,280.66,280.6599,281.039,280.9,280.37,280.24,279.5925,278.935,279.11,272.6,0.6501,29.9107,38.5795,32.0113,34.1771,42.4802,0.1629,0.1998,0.1976,0.2215,0.2547,0,1,0.2974,0.3183,0.3374,0.3728,0.4107,-0.6459,-0.6459,-0.36,-0.84,-0.6,-0.6459,-1.5071,-1.0765,);Sell to Open;-1.0;$279.96;4/20/20 11:31 AM;;$0.12;-1.0;
8;cus_BVB_DVI;Buy to Close;1.0;$280.00;4/20/20 11:34 AM;($0.04);$0.21;0.0;
9;cus_BVB_DVI(@,bto,,280.59,280.38,280.21,280.18,280.07,280.16,280.21,280.33,280.07,279.65,279.5925,279.79,279.76,279.38,279.97,278.25,269.13,0.3384,68.3224,62.3035,51.1173,51.1114,52.2252,0.2211,0.2057,0.1662,0.192,0.1806,0,0,0.2853,0.2221,0.2037,0.2036,0.2027,0.27,0.2763,1,0.6381,0.27,0.9772,0.6236,);Buy to Open;1.0;$280.59;4/20/20 12:11 PM;;$0.00;1.0;
10;cus_BVB_PSARX(PSARLX);Sell to Close;-1.0;$280.16;4/20/20 12:14 PM;($0.43);($0.22);0.0;
11;cus_BVB_DVI(@,sto,,279.87,279.96,280.14,280.1924,279.985,280.11,280.05,279.9,279.9272,279.71,279.63,279.0002,278.81,278.86,278.6,273.05,267.84,0.2752,40.8508,47.7839,46.3249,43.3169,44.9528,0.1762,0.2024,0.2014,0.2175,0.2175,0,0,0.0628,0.1162,0.0971,0.0624,0.0813,-0.4584,-0.4584,-0.7247,-0.4884,-0.6065,-0.4584,-0.309,-0.3837,);Sell to Open;-1.0;$279.87;4/20/20 12:47 PM;;($0.31);-1.0;
12;cus_BVB_DMI(DMI_SX);Buy to Close;1.0;$278.78;4/20/20 1:10 PM;$1.09;$0.87;0.0;
13;cus_BVB_DVI(@,bto,,280.07,280.11,279.94,279.9515,280.031,280.06,280.0599,279.83,280.09,280.17,280.045,279.83,279.0683,279.16,278.82,269.1,266.8,0.5602,76.6885,71.492,76.1597,75.888,70.8711,0.4472,0.3858,0.3645,0.3431,0.2821,1,0,0.4062,0.4112,0.4237,0.3965,0.4344,1.0765,0.5415,0.9175,0.7295,1.0765,1.824,1.4502,);Buy to Open;1.0;$280.07;4/20/20 1:54 PM;;$0.91;1.0;
14;cus_BVB_PSARX(PSARLX);Sell to Close;-1.0;$280.00;4/20/20 1:58 PM;($0.07);$0.80;0.0;
15;cus_BVB_DVI(@,sto,,277.52,277.7,277.8571,277.727,277.91,278.215,278.243,278.43,277.87,277.66,277.775,277.3,276.61,272.7,268.415,266.8499,270.39,0.5711,29.5951,47.7859,38.5246,36.9282,40.2897,-0.4002,-0.2939,-0.3062,-0.2763,-0.2482,0,1,0.5145,0.5819,0.5739,0.5882,0.5897,-1.8628,-1.8628,-0.8525,-1,-0.9263,-1.8628,-2.185,-2.0239,);Sell to Open;-1.0;$277.52;4/20/20 3:43 PM;;$0.62;-1.0;
16;cus_BVB_PSARX(PSARSX);Buy to Close;1.0;$278.41;4/20/20 3:50 PM;($0.89);($0.09);0.0;
17;cus_BVB_DVI(@,sto,,277.28,277.37,276.85,276.15,276.66,276.61,275.935,274.195,273.39,273.05,272.88,273.3599,273.17,271.43,269.323,266.885,270.81,0.2949,30.7982,36.127,39.3661,39.6327,42.4426,-0.5991,-0.5852,-0.4689,-0.5246,-0.4457,0,1,0.4371,0.4612,0.4639,0.5219,0.6133,-0.2443,-0.2443,-0.0833,-0.7917,-0.4375,-0.2443,-2.3212,-1.2828,);Sell to Open;-1.0;$277.28;4/20/20 3:58 PM;;($0.18);-1.0;
18;cus_BVB_DVI;Buy to Close;1.0;$276.28;4/21/20 9:30 AM;$1.00;$0.91;0.0;
19;cus_BVB_DVI(@,sto,,273.4,273.05,272.88,272.295,272.38,273.0053,272.86,273.3599,273.06,272.37,272.781,272.1,273.1202,271.055,267.72,267.58,269.6378,0.2908,11.7645,14.3279,24.646,32.788,33.517,-0.174,0.0913,0.4239,0.5443,0.6925,0,1,-0.4559,-0.3643,0.1755,0.4289,0.4568,-4.1284,-4.1284,-0.7693,-0.5158,-0.6426,-4.1284,-2.7678,-3.4481,);Sell to Open;-1.0;$273.40;4/21/20 9:36 AM;;$1.26;-1.0;
20;cus_BVB_DMI(DMI_SX);Buy to Close;1.0;$273.01;4/21/20 9:41 AM;$0.39;$1.30;0.0;
21;cus_BVB_DVI(@,sto,,270.84,270.95,270.7489,270.596,270.5314,271.07,271.055,270.6859,270.4387,270.4,270.655,269.525,269.19,269.72,267.7201,270.09,270.8286,0.3408,22.2861,30.6546,26.2244,29.4991,35.628,-1.0775,-0.892,-0.8583,-0.7886,-0.6695,0,1,-1.3787,-1.1303,-1.1817,-1.0821,-1.067,-2.8859,-2.8859,-0.9483,-0.9171,-0.9327,-2.8859,-2.7909,-2.8384,);Sell to Open;-1.0;$270.84;4/21/20 10:20 AM;;$1.19;-1.0;
22;cus_BVB_DVI;Buy to Close;1.0;$270.75;4/21/20 10:22 AM;$0.09;$1.39;0.0;
23;cus_BVB_DVI(@,sto,,270.391,270.4023,269.805,269.3601,269.525,269.131,269.08,269.38,269.73,269.19,269.13,269.4,268.4,268.6625,267.23,269.16,269.94,0.1661,32.6469,37.169,28.3466,28.8939,32.4515,-0.807,-0.7737,-0.8113,-0.7997,-0.7222,0,0,-1.7462,-1.6709,-1.6831,-1.6232,-1.5962,-0.5181,-0.5181,-0.4747,-0.5354,-0.5051,-0.5181,-0.5843,-0.5512,);Sell to Open;-1.0;$270.39;4/21/20 10:31 AM;;$1.38;-1.0;
24;cus_BVB_DVI;Buy to Close;1.0;$269.80;4/21/20 10:33 AM;$0.59;$1.98;0.0;
25;cus_BVB_DVI(@,sto,,270.2,269.9033,269.8373,269.6378,269.6305,269.08,268.86,268.8701,268.6301,268.6592,268.72,268.36,268.21,270.77,273.99,273.19,274.19,0.2223,42.0625,49.7313,51.3311,54.7702,56.9382,-0.5058,-0.4593,-0.4314,-0.3866,-0.3572,0,0,-1.0749,-1.0347,-1.0351,-1.0186,-1.0296,-0.723,-0.723,-0.7538,-0.8462,-0.8,-0.723,-0.8115,-0.7673,);Sell to Open;-1.0;$270.20;4/21/20 2:33 PM;;$2.28;-1.0;
26;cus_BVB_DMI(DMI_SX);Buy to Close;1.0;$268.64;4/21/20 2:42 PM;$1.56;$3.54;0.0;
27;cus_BVB_DVI(@,bto,,270.05,270.44,270.44,270.5119,270.8286,271.0917,270.78,270.77,270.69,270.305,270.1767,269.94,270.58,274.76,274.19,274.09,274.8555,0.2456,69.9417,67.9503,62.0632,55.5282,57.8664,-0.6709,-0.7678,-0.9741,-1.034,-1.0614,1,0,-0.8482,-0.9007,-0.9025,-0.908,-0.9508,1.507,0.7788,0.5192,0.649,1.507,1.0046,1.2558,);Buy to Open;1.0;$270.05;4/21/20 3:16 PM;;$3.93;1.0;
28;cus_BVB_DVI;Sell to Close;-1.0;$270.78;4/21/20 3:20 PM;$0.73;$4.27;0.0;
29;cus_BVB_DVI(@,sto,,269.6856,270.0615,269.78,269.88,269.94,269.68,269.43,269.7954,269.9,270.58,270.78,270.43,269.44,273.2163,273.1701,274.38,275.74,0.2719,39.6386,50.7548,54.3246,66.8699,69.8492,-0.8228,-0.6949,-0.5881,-0.4773,-0.4502,0,0,-1.0712,-1,-0.9012,-0.8718,-0.8572,-1.9901,-1.9901,-0.8947,-0.8246,-0.8596,-1.9901,-1.8341,-1.9121,);Sell to Open;-1.0;$269.69;4/21/20 3:27 PM;;$3.89;-1.0;
30;cus_BVB_DVI;Buy to Close;1.0;$269.73;4/21/20 3:29 PM;($0.04);$4.22;0.0;
31;cus_BVB_DVI(@,sto,,269.7094,269.43,269.7954,269.9,270.58,270.78,270.5758,270.4165,270.84,270.64,270.43,269.44,268.95,272.875,273.96,274.47,275.5801,0.2116,41.5096,47.5216,45.9148,43.3448,49.1939,-0.8139,-0.7433,-0.7567,-0.8121,-0.7898,0,0,-1.1044,-1.09,-1.0674,-1.0922,-1.0509,-1.1001,-1.1001,-0.8333,-0.6667,-0.75,-1.1001,-0.88,-0.9901,);Sell to Open;-1.0;$269.71;4/21/20 3:32 PM;;$4.50;-1.0;
32;cus_BVB_PSARX(PSARSX);Buy to Close;1.0;$270.63;4/21/20 3:36 PM;($0.92);$3.31;0.0;
33;cus_BVB_DVI(@,bto,,270.87,270.64,270.43,270.06,269.64,269.6111,269.52,269.44,269.46,269.55,269.11,268.24,268.4438,273.66,273.3601,274.23,275.455,0.2677,63.8958,56.3145,60.5668,66.2686,63.2572,-0.5869,-0.7068,-0.7144,-0.6272,-0.6498,1,0,-0.9166,-1.0697,-1.0789,-1.1201,-1.0727,1.8652,0.7818,0.8182,0.8,1.8652,1.9519,1.9085,);Buy to Open;1.0;$270.87;4/21/20 3:40 PM;;$3.08;1.0;
34;cus_BVB_PSARX(PSARLX);Sell to Close;-1.0;$269.64;4/21/20 3:44 PM;($1.23);$2.08;0.0;
35;cus_BVB_DVI(@,bto,,274.72,274.24,274.0399,273.88,274.36,274.785,274.12,273.99,273.9,273.525,273.835,273.345,273.04,274.19,273.26,274.02,275.7606,0.3496,77.8614,74.499,75.7159,74.4311,74.3827,0.8595,0.5378,0.5362,0.4101,0.4054,0,0,0.3458,0.1593,0.1772,0.1527,-0.0552,4.6706,0.9029,0.7961,0.8495,4.6706,4.1182,4.3944,);Buy to Open;1.0;$274.72;4/22/20 9:36 AM;;$1.60;1.0;
36;cus_BVB_DVI;Sell to Close;-1.0;$274.37;4/22/20 9:40 AM;($0.35);$1.73;0.0;
37;cus_BVB_DVI(@,sto,,272.375,272.43,272.6501,272.68,272.75,272.6,272.57,272.54,272.63,272.73,272.9617,273.325,273.19,273.77,274.74,276.0201,276.58,0.3953,24.9627,42.5985,33.1954,19.7047,21.6961,0.0847,0.1549,0.1045,0.0517,0.0517,0,1,-0.1842,-0.1358,-0.1435,-0.141,-0.0849,-1.0196,-1.0196,-0.525,-0.925,-0.725,-1.0196,-1.7964,-1.408,);Sell to Open;-1.0;$272.38;4/22/20 11:03 AM;;$1.68;-1.0;
38;cus_BVB_PSARX(PSARSX);Buy to Close;1.0;$272.74;4/22/20 11:07 AM;($0.37);$1.37;0.0;
39;cus_BVB_DVI(@,bto,,274.81,274.74,274.5701,274.5199,274.57,274.6,274.29,274.35,274.2435,274.04,274.1162,273.93,274.1,274.845,275.92,275.58,280,0.4462,77.2283,72.4025,67.6907,59.4944,49.9768,0.8591,0.8426,0.7991,0.7216,0.6527,1,0,0.0474,0.0396,0.0416,0.0524,0.0236,0.2382,0.1154,1,0.5577,0.2382,2.0646,1.1514,);Buy to Open;1.0;$274.81;4/22/20 12:42 PM;;$1.30;1.0;
40;cus_BVB_DMI(DMI_LX);Sell to Close;-1.0;$274.62;4/22/20 12:44 PM;($0.19);$1.17;0.0;
41;cus_BVB_DVI(@,bto,,275.21,275.39,275.42,275.27,275.6401,275.68,275.6599,275.605,275.74,275.77,275.7599,275.446,275.31,275.612,276.72,281.015,279.92,0.8315,77.0403,59.9674,68.8113,65.2662,68.3717,1.0771,0.9267,0.9232,0.9182,0.9162,1,0,0.2005,0.1013,0.1031,0.098,0.0929,2.1829,0.6735,0.8163,0.7449,2.1829,2.646,2.4145,);Buy to Open;1.0;$275.21;4/22/20 1:49 PM;;$1.35;1.0;
42;cus_BVB_DVI;Sell to Close;-1.0;$275.65;4/22/20 1:53 PM;$0.44;$1.61;0.0;
