Strategy report
Symbol: AAPL
Work Time: 5/15/20 9:54 AM - 5/15/20 3:45 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;cus_BVB_DVI(btc@304.44);Sell to Close;-1.0;$304.44;5/15/20 9:54 AM;$0.00;$0.42;-1.0;
2;cus_BVB_DVI(@,bto,304.44,1.4926,64.5473,58.0412,52.8224,46.7104,41.0537,1.3291,1.163,1.0386,0.9345,0.8921,1,1,0.9056,0.7067,0.7362,0.5686,0.5134,304.0197,303.785,304.05,303.85,303.66,303.98,303.865,304.12,304.1398,304.125,305.73,305.55,303.3,306.06,306.46);Buy to Open;1.0;$304.44;5/15/20 9:54 AM;;$0.00;0.0;
3;cus_BVB_DVI(stc@303.77);Buy to Close;1.0;$303.77;5/15/20 9:56 AM;$0.00;$0.28;1.0;
4;cus_BVB_DVI(@,,sto,303.77,0,54.876,58.2171,64.5473,58.0412,52.8224,1.2506,1.2815,1.3291,1.163,1.0386,1,1,0.7021,0.7388,0.9056,0.7067,0.7362,304.05,303.85,303.66,303.98,303.865,304.12,304.1398,304.125,303.89,304.21,305.88,305.3,303.3599,305.7899,306.26);Sell to Open;-1.0;$303.77;5/15/20 9:56 AM;;$0.00;0.0;
5;cus_BVB_DVI(btc@304.14);Sell to Close;-1.0;$304.14;5/15/20 10:02 AM;$0.00;$0.00;-1.0;
6;cus_BVB_DVI(@,bto,304.14,0,58.0967,54.2498,56.3226,51.7641,54.7816,1.2277,1.2338,1.2928,1.2452,1.2803,1,1,0.8447,0.7988,0.8284,0.7039,0.7105,304.1398,304.125,303.89,304.21,304.77,304.5881,304.915,305.24,305.4,305.8209,304.84,304.98,302.535,305.85,306.41);Buy to Open;1.0;$304.14;5/15/20 10:02 AM;;$0.00;0.0;
7;cus_BVB_DVI(stc@303.9425);Buy to Close;1.0;$303.94;5/15/20 10:05 AM;$0.00;$0.27;1.0;
8;cus_BVB_DVI(@,,sto,303.9425,0,52.3478,58.0463,58.4022,58.0967,54.2498,1.1828,1.2454,1.2531,1.2277,1.2338,1,1,0.8923,0.8723,0.8775,0.8447,0.7988,304.21,304.77,304.5881,304.915,305.24,305.4,305.8209,306.03,305.73,305.77,304.44,304.27,302.9399,305.69,306.771);Sell to Open;-1.0;$303.94;5/15/20 10:05 AM;;$0.00;0.0;
9;cus_BVB_DVI(btc@304.19);Sell to Close;-1.0;$304.19;5/15/20 10:06 AM;$0.00;($0.58);-1.0;
10;cus_BVB_DVI(@,bto,304.19,0,58.5774,52.3478,58.0463,58.4022,58.0967,1.2427,1.1828,1.2454,1.2531,1.2277,1,1,1.0164,0.8923,0.8723,0.8775,0.8447,304.77,304.5881,304.915,305.24,305.4,305.8209,306.03,305.73,305.77,305.88,304.87,303.975,302.85,305.69,306.66);Buy to Open;1.0;$304.19;5/15/20 10:06 AM;;$0.00;0.0;
