Strategy report
Symbol: AAPL
Work Time: 5/12/20 9:32 AM - 5/15/20 3:45 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;cus_BVB_DVI(btc@318.87);Sell to Close;-1.0;$318.87;5/12/20 9:32 AM;$0.00;$0.01;-1.0;
2;cus_BVB_DVI(@,bto,,318.87,318.8581,318.0702,317.65,317.52,316.783,317.65,317.7,318.1055,318.07,318.6872,317.5998,316.02,317.6553,318.55,319.3657,317.1535,3.7311,79.2431,76.439,28.5179,46.4311,58.9173,1.13,0.936,4.3945,4.9127,5.1356,1,1,N/A,N/A,N/A,N/A,N/A,);Buy to Open;1.0;$318.87;5/12/20 9:32 AM;;$0.00;0.0;
3;cus_BVB_DVI(btc@318.9385);Sell to Close;-1.0;$318.94;5/12/20 12:39 PM;$0.00;$0.04;-1.0;
4;cus_BVB_DVI(@,bto,,318.9385,318.9,318.76,318.81,318.93,318.83,318.99,318.9786,319.27,319.175,319.38,319.24,319.4201,317.1162,317.12,311.785,313.4,0.0383,68.9801,62.933,58.4054,56.4277,54.9029,0.7381,0.732,0.7374,0.7458,0.7158,1,1,0.703,0.6936,0.6871,0.7105,0.7017,);Buy to Open;1.0;$318.94;5/12/20 12:39 PM;;$0.00;0.0;
5;cus_BVB_DVI(btc@318.99);Sell to Close;-1.0;$318.99;5/12/20 12:45 PM;$0.00;$0.01;-1.0;
6;cus_BVB_DVI(@,bto,,318.99,318.9786,319.27,319.175,319.38,319.274,319.25,319.3657,319.3,319.24,319.3501,319.36,318.89,317.56,317.4672,311.343,313.61,0.1956,63.8408,54.2806,63.6262,55.4433,51.3934,0.7342,0.6933,0.7116,0.6822,0.6712,1,1,0.7829,0.7503,0.7547,0.7137,0.6989,);Buy to Open;1.0;$318.99;5/12/20 12:45 PM;;$0.00;0.0;
7;cus_BVB_DVI(stc@318.88);Buy to Close;1.0;$318.88;5/12/20 1:03 PM;$0.00;$0.03;1.0;
8;cus_BVB_DVI(@,sto,,318.88,318.91,318.89,318.97,318.96,319.0085,318.92,318.94,318.6265,318.51,318.32,317.99,317.77,318.13,316.44,312.64,312.41,0.4103,31.1754,37.1333,53.6284,55.4162,59.6664,0.65,0.6864,0.7743,0.7986,0.8092,1,1,0.8476,0.8166,0.854,0.8478,0.8719,);Sell to Open;-1.0;$318.88;5/12/20 1:03 PM;;$0.00;0.0;
9;cus_BVB_DVI(btc@318.99);Sell to Close;-1.0;$318.99;5/12/20 1:06 PM;$0.00;$0.03;-1.0;
10;cus_BVB_DVI(@,bto,,318.99,318.96,319.0085,318.92,318.94,318.6265,318.51,318.32,318.14,318.2043,318.3945,317.5548,316.6611,318.54,316.9,312.61,311.97,0.2338,39.9213,33.8913,34.6645,31.1754,37.1333,0.7175,0.6767,0.6467,0.65,0.6864,1,1,0.8545,0.8844,0.8324,0.8476,0.8166,);Buy to Open;1.0;$318.99;5/12/20 1:06 PM;;$0.00;0.0;
11;cus_BVB_DVI(stc@312.985);Buy to Close;1.0;$312.99;5/12/20 3:44 PM;$0.00;($0.19);1.0;
12;cus_BVB_DVI(@,sto,,312.985,312.79,312.4801,313.165,313.27,313.21,312.75,311.955,311,311.251,311.56,311.785,312.267,314.58,314.23,306.34,305.8,0.911,17.6656,21.4901,24.9658,28.892,41.0413,-0.6452,-0.4494,-0.3693,-0.2225,-0.0837,1,1,0.3314,0.4912,0.5013,0.5774,0.6289,);Sell to Open;-1.0;$312.99;5/12/20 3:44 PM;;$0.00;0.0;
13;cus_BVB_DVI(stc@312.86);Buy to Close;1.0;$312.86;5/12/20 3:45 PM;$0.00;($0.38);1.0;
14;cus_BVB_DVI(@,sto,,312.86,312.4801,313.165,313.27,313.21,312.75,311.955,311,311.251,311.56,311.06,311.34,311.343,314.58,314.15,306.865,305.725,0.7171,16.3911,17.6656,21.4901,24.9658,28.892,-0.6666,-0.6452,-0.4494,-0.3693,-0.2225,1,1,0.3019,0.3314,0.4912,0.5013,0.5774,);Sell to Open;-1.0;$312.86;5/12/20 3:45 PM;;$0.00;0.0;
15;cus_BVB_DVI(btc@313.161);Sell to Close;-1.0;$313.16;5/12/20 3:47 PM;$0.00;($0.11);-1.0;
16;cus_BVB_DVI(@,bto,,313.161,313.27,313.21,312.75,311.955,311,311.251,311.56,311.06,311.885,311.99,313.45,310.3,314.505,313.96,306.6999,306.63,0.9991,33.5444,14.502,16.3911,17.6656,21.4901,-0.657,-0.8131,-0.6666,-0.6452,-0.4494,1,1,0.396,0.2793,0.3019,0.3314,0.4912,);Buy to Open;1.0;$313.16;5/12/20 3:47 PM;;$0.00;0.0;
17;cus_BVB_DVI(btc@313.23);Sell to Close;-1.0;$313.23;5/12/20 3:48 PM;$0.00;$0.02;-1.0;
18;cus_BVB_DVI(@,bto,,313.23,313.21,312.75,311.955,311,311.251,311.56,311.06,311.885,311.99,312,312.8,311.4006,314.6401,313.6177,306.812,306.7399,0.6044,36.0028,33.5444,14.502,16.3911,17.6656,-0.6839,-0.657,-0.8131,-0.6666,-0.6452,1,1,0.4373,0.396,0.2793,0.3019,0.3314,);Buy to Open;1.0;$313.23;5/12/20 3:48 PM;;$0.00;0.0;
19;cus_BVB_DVI(stc@312.75);Buy to Close;1.0;$312.75;5/12/20 3:50 PM;$0.00;($0.80);1.0;
