,Account,Id,Ref,Qty,filled,Type,Action,Aux,Lmt,TrailStop,AlgoStrategy,LimitOffset,RTH,TIF,,
NCTY,DU2321894,1802,,250,1.79769313486232E+308,LMT,SELL,0,6,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
NCTY,DU2321894,1801,,250,1.79769313486232E+308,STP LMT,BUY,4,4.1,4,,1.79769313486232E+308,True,GTC,,
MOGU,DU2321894,1800,,392,1.79769313486232E+308,STP,SELL,2.2,0,2.2,,1.79769313486232E+308,False,GTC,,
MOGU,DU2321894,1799,,392,1.79769313486232E+308,LMT,SELL,0,3.48,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
KERN,DU2321894,76,,112,1.79769313486232E+308,STP,SELL,3.35,0,3.35,,1.79769313486232E+308,False,GTC,,
FLL,DU2321894,-68,,259,1.79769313486232E+308,STP,SELL,3.6,0,3.6,,1.79769313486232E+308,False,GTC,,
KERN,DU2321894,-10,,112,1.79769313486232E+308,LMT,SELL,0,5.98,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
FLL,DU2321894,1796,,259,1.79769313486232E+308,LMT,SELL,0,4.9,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
KERN,DU2321894,-11,,112,1.79769313486232E+308,STP LMT,BUY,4.43,4.47,4.43,,1.79769313486232E+308,True,GTC,,
SOLO,DU2321894,-12,,61,1.79769313486232E+308,STP LMT,BUY,8.16,8.24,8.16,,1.79769313486232E+308,True,GTC,,
AQUA,DU2321894,-71,,38,1.79769313486232E+308,STP,SELL,26.5,0,26.5,,1.79769313486232E+308,False,GTC,,
AQUA,DU2321894,1787,,38,1.79769313486232E+308,LMT,SELL,0,29.5,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
FOSL,DU2321894,1785,,111,1.79769313486232E+308,STP,BUY,9.72,0,9.72,,1.79769313486232E+308,False,GTC,,
FOSL,DU2321894,1784,,111,1.79769313486232E+308,LMT,BUY,0,9.1,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
SUNW,DU2321894,-23,,94,1.79769313486232E+308,STP,SELL,4.8,0,4.8,,1.79769313486232E+308,False,GTC,,
SUNW,DU2321894,-24,,94,1.79769313486232E+308,LMT,SELL,0,8,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
FNHC,DU2321894,-73,,166,1.79769313486232E+308,STP,SELL,5.5,0,5.5,,1.79769313486232E+308,False,GTC,,
FNHC,DU2321894,1780,,166,1.79769313486232E+308,LMT,SELL,0,7.48,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
SOLO,DU2321894,-26,,61,1.79769313486232E+308,STP,SELL,5.8,0,5.8,,1.79769313486232E+308,False,GTC,,
SOLO,DU2321894,-27,,61,1.79769313486232E+308,LMT,SELL,0,13.6,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
RKT,DU2321894,1778,,43,1.79769313486232E+308,STP,SELL,20.65,0,20.65,,1.79769313486232E+308,False,GTC,,
RKT,DU2321894,1777,,43,1.79769313486232E+308,LMT,SELL,0,25,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
RKT,DU2321894,1776,,43,1.79769313486232E+308,STP LMT,BUY,23.07,23.2,23.07,,1.79769313486232E+308,True,GTC,,
CHNR,DU2321894,-33,,280,1.79769313486232E+308,STP,SELL,1.34,0,1.34,,1.79769313486232E+308,False,GTC,,
CHNR,DU2321894,-34,,280,1.79769313486232E+308,LMT,SELL,0,1.99,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
ATHE,DU2321894,-36,,306,1.79769313486232E+308,LMT,SELL,0,3.58,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
AHPI,DU2321894,-41,,84,1.79769313486232E+308,STP,SELL,4.75,0,4.75,,1.79769313486232E+308,False,GTC,,
AHPI,DU2321894,-42,,84,1.79769313486232E+308,LMT,SELL,0,7.4,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
DTSS,DU2321894,-44,,219,1.79769313486232E+308,STP LMT,BUY,2.45,2.5,2.45,,1.79769313486232E+308,True,GTC,,
MFGP,DU2321894,1722,,1,1.79769313486232E+308,STP,SELL,5.5,0,5.5,,1.79769313486232E+308,False,GTC,,
ATHE,DU2321894,-77,,306,1.79769313486232E+308,STP,SELL,1.39,0,1.39,,1.79769313486232E+308,False,GTC,,
ENG,DU2321894,-55,,203,1.79769313486232E+308,STP,SELL,2.75,0,2.75,,1.79769313486232E+308,False,GTC,,
ENG,DU2321894,-56,,203,1.79769313486232E+308,LMT,SELL,0,4.32,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
MFGP,DU2321894,1721,,1,1.79769313486232E+308,LMT,SELL,0,6.49,1.79769313486232E+308,,1.79769313486232E+308,True,GTC,,
