,Account,Id,Ref,Qty,filled,Type,Action,Aux,Lmt,TrailStop,AlgoStrategy,RTH,TIF,,
KREF,DU3053535,3397,,51,1.79769313486232E+308,LMT,BUY,0,19.69,20.69,,True,GTC,,,20201228 09:30:00 EST, 274859321≥+19.3, 274859321≥+70655,margin ≥+20
KRG,DU3053535,3396,,61,1.79769313486232E+308,TRAIL,SELL,1.16,0,15.06,,False,GTC,,
KRG,DU3053535,3395,,61,1.79769313486232E+308,LMT,SELL,0,19.11,20.11,,True,GTC,,
KRG,DU3053535,3394,,61,1.79769313486232E+308,LMT,BUY,0,16.54,17.54,,True,GTC,,,20201228 09:30:00 EST, 161703135≥+16.22, 161703135≥+237764,margin ≥+20
KRNY,DU3053535,3393,,89,1.79769313486232E+308,TRAIL,SELL,0.66,0,10.54,,False,GTC,,
KRNY,DU3053535,3392,,89,1.79769313486232E+308,LMT,SELL,0,12.85,13.85,,True,GTC,,
KRNY,DU3053535,3391,,89,1.79769313486232E+308,LMT,BUY,0,11.42,12.42,,True,GTC,,,20201228 09:30:00 EST, 195014109≥+11.2, 195014109≥+195000,margin ≥+20
KRO,DU3053535,3390,,63,1.79769313486232E+308,TRAIL,SELL,0.8,0,14.84,,False,GTC,,
KN,DU3053535,3405,,53,1.79769313486232E+308,TRAIL,SELL,0.9,0,17.84,,False,GTC,,
KN,DU3053535,3404,,53,1.79769313486232E+308,LMT,SELL,0,21,22,,True,GTC,,
KN,DU3053535,3403,,53,1.79769313486232E+308,LMT,BUY,0,19.12,20.12,,True,GTC,,,20201228 09:30:00 EST, 143926983≥+18.74, 143926983≥+500909,margin ≥+20
KNL,DU3053535,3402,,65,1.79769313486232E+308,TRAIL,SELL,1.2,0,14.17,,False,GTC,,
KNL,DU3053535,3401,,65,1.79769313486232E+308,LMT,SELL,0,18.38,19.38,,True,GTC,,
KNL,DU3053535,3400,,65,1.79769313486232E+308,LMT,BUY,0,15.68,16.68,,True,GTC,,,20201228 09:30:00 EST, 32606999≥+15.37, 32606999≥+157182,margin ≥+20
KREF,DU3053535,3399,,51,1.79769313486232E+308,TRAIL,SELL,0.94,0,18.36,,False,GTC,,
KREF,DU3053535,3398,,51,1.79769313486232E+308,LMT,SELL,0,21.66,22.66,,True,GTC,,
KMDA,DU3053535,3413,,144,1.79769313486232E+308,LMT,SELL,0,8.08,9.08,,True,GTC,,
KMDA,DU3053535,3412,,144,1.79769313486232E+308,LMT,BUY,0,7.06,8.06,,True,GTC,,,20201228 09:30:00 EST, 128636953≥+6.92, 128636953≥+124636,margin ≥+20
KMF,DU3053535,3411,,165,1.79769313486232E+308,TRAIL,SELL,0.34,0,5.71,,False,GTC,,
KMF,DU3053535,3410,,165,1.79769313486232E+308,LMT,SELL,0,6.92,7.92,,True,GTC,,
KMF,DU3053535,3409,,165,1.79769313486232E+308,LMT,BUY,0,6.18,7.18,,True,GTC,,,20201228 09:30:00 EST, 81330131≥+6.06, 81330131≥+51291,margin ≥+20
KMI,DU3053535,3408,,65,1.79769313486232E+308,TRAIL,SELL,0.87,0,14.3,,False,GTC,,
KMI,DU3053535,3407,,65,1.79769313486232E+308,LMT,SELL,0,17.34,18.34,,True,GTC,,
KMI,DU3053535,3406,,65,1.79769313486232E+308,LMT,BUY,0,15.47,16.47,,True,GTC,,,20201228 09:30:00 EST, 83975037≥+15.17, 83975037≥+5470509,margin ≥+20
KEY,DU3053535,3421,,58,1.79769313486232E+308,LMT,BUY,0,17.3,18.3,,True,GTC,,,20201228 09:30:00 EST, 8809≥+16.96, 8809≥+1668855,margin ≥+20
KGC,DU3053535,3420,,125,1.79769313486232E+308,TRAIL,SELL,0.69,0,7.31,,False,GTC,,
KGC,DU3053535,3419,,125,1.79769313486232E+308,LMT,SELL,0,9.73,10.73,,True,GTC,,
KGC,DU3053535,3418,,125,1.79769313486232E+308,LMT,BUY,0,8.16,9.16,,True,GTC,,,20201228 09:30:00 EST, 8823≥+8, 8823≥+7402600,margin ≥+20
KIM,DU3053535,3417,,62,1.79769313486232E+308,TRAIL,SELL,1.17,0,14.75,,False,GTC,,
KIM,DU3053535,3416,,62,1.79769313486232E+308,LMT,SELL,0,18.83,19.83,,True,GTC,,
KIM,DU3053535,3415,,62,1.79769313486232E+308,LMT,BUY,0,16.23,17.23,,True,GTC,,,20201228 09:30:00 EST, 8845≥+15.92, 8845≥+1437909,margin ≥+20
KMDA,DU3053535,3414,,144,1.79769313486232E+308,TRAIL,SELL,0.46,0,6.46,,False,GTC,,
LCI,DU3053535,3365,,138,1.79769313486232E+308,LMT,SELL,0,8.85,9.85,,True,GTC,,
LCI,DU3053535,3364,,138,1.79769313486232E+308,LMT,BUY,0,7.37,8.37,,True,GTC,,,20201228 09:30:00 EST, 15354309≥+7.23, 15354309≥+114745,margin ≥+20
LCY,DU3053535,3363,,92,1.79769313486232E+308,TRAIL,SELL,0.66,0,10.18,,False,GTC,,
LCY,DU3053535,3362,,92,1.79769313486232E+308,LMT,SELL,0,12.49,13.49,,True,GTC,,
LCY,DU3053535,3361,,92,1.79769313486232E+308,LMT,BUY,0,11.06,12.06,,True,GTC,,,20201228 09:30:00 EST, 457630868≥+10.84, 457630868≥+58182,margin ≥+20
LFAC,DU3053535,3360,,89,1.79769313486232E+308,TRAIL,SELL,0.48,0,10.64,,False,GTC,,
LFAC,DU3053535,3359,,89,1.79769313486232E+308,LMT,SELL,0,12.33,13.33,,True,GTC,,
LFAC,DU3053535,3358,,89,1.79769313486232E+308,LMT,BUY,0,11.35,12.35,,True,GTC,,,20201228 09:30:00 EST, 323805593≥+11.13, 323805593≥+274273,margin ≥+20
LAND,DU3053535,3373,,63,1.79769313486232E+308,LMT,BUY,0,16.06,17.06,,True,GTC,,,20201228 09:30:00 EST, 121560173≥+15.75, 121560173≥+114127,margin ≥+20
LAUR,DU3053535,3372,,62,1.79769313486232E+308,TRAIL,SELL,0.88,0,15.08,,False,GTC,,
LAUR,DU3053535,3371,,62,1.79769313486232E+308,LMT,SELL,0,18.15,19.15,,True,GTC,,
LAUR,DU3053535,3370,,62,1.79769313486232E+308,LMT,BUY,0,16.28,17.28,,True,GTC,,,20201228 09:30:00 EST, 264485686≥+15.96, 264485686≥+216073,margin ≥+20
LBAI,DU3053535,3369,,74,1.79769313486232E+308,TRAIL,SELL,0.82,0,12.59,,False,GTC,,
LBAI,DU3053535,3368,,74,1.79769313486232E+308,LMT,SELL,0,15.47,16.47,,True,GTC,,
LBAI,DU3053535,3367,,74,1.79769313486232E+308,LMT,BUY,0,13.68,14.68,,True,GTC,,,20201228 09:30:00 EST, 14487955≥+13.41, 14487955≥+79145,margin ≥+20
LCI,DU3053535,3366,,138,1.79769313486232E+308,TRAIL,SELL,0.65,0,6.58,,False,GTC,,
KYN,DU3053535,3381,,147,1.79769313486232E+308,TRAIL,SELL,0.56,0,6.2,,False,GTC,,
KYN,DU3053535,3380,,147,1.79769313486232E+308,LMT,SELL,0,8.16,9.16,,True,GTC,,
KYN,DU3053535,3379,,147,1.79769313486232E+308,LMT,BUY,0,6.9,7.9,,True,GTC,,,20201228 09:30:00 EST, 31250966≥+6.76, 31250966≥+28400,margin ≥+20
LADR,DU3053535,3378,,96,1.79769313486232E+308,TRAIL,SELL,0.66,0,9.69,,False,GTC,,
LADR,DU3053535,3377,,96,1.79769313486232E+308,LMT,SELL,0,12.01,13.01,,True,GTC,,
LADR,DU3053535,3376,,96,1.79769313486232E+308,LMT,BUY,0,10.56,11.56,,True,GTC,,,20201228 09:30:00 EST, 143731062≥+10.35, 143731062≥+209709,margin ≥+20
LAND,DU3053535,3375,,63,1.79769313486232E+308,TRAIL,SELL,0.95,0,14.8,,False,GTC,,
LAND,DU3053535,3374,,63,1.79769313486232E+308,LMT,SELL,0,18.12,19.12,,True,GTC,,
KRO,DU3053535,3389,,63,1.79769313486232E+308,LMT,SELL,0,17.64,18.64,,True,GTC,,
KRO,DU3053535,3388,,63,1.79769313486232E+308,LMT,BUY,0,15.95,16.95,,True,GTC,,,20201228 09:30:00 EST, 26976201≥+15.64, 26976201≥+69255,margin ≥+20
KT,DU3053535,3387,,85,1.79769313486232E+308,TRAIL,SELL,0.35,0,11.28,,False,GTC,,
KT,DU3053535,3386,,85,1.79769313486232E+308,LMT,SELL,0,12.5,13.5,,True,GTC,,
KT,DU3053535,3385,,85,1.79769313486232E+308,LMT,BUY,0,11.86,12.86,,True,GTC,,,20201228 09:30:00 EST, 6608089≥+11.63, 6608089≥+157273,margin ≥+20
KW,DU3053535,3384,,54,1.79769313486232E+308,TRAIL,SELL,0.87,0,17.49,,False,GTC,,
KW,DU3053535,3383,,54,1.79769313486232E+308,LMT,SELL,0,20.55,21.55,,True,GTC,,
KW,DU3053535,3382,,54,1.79769313486232E+308,LMT,BUY,0,18.73,19.73,,True,GTC,,,20201228 09:30:00 EST, 70298853≥+18.36, 70298853≥+381109,margin ≥+20
INVA,DU3053535,3461,,77,1.79769313486232E+308,LMT,SELL,0,15.54,16.54,,True,GTC,,
INVA,DU3053535,3460,,77,1.79769313486232E+308,LMT,BUY,0,13.14,14.14,,True,GTC,,,20201228 09:30:00 EST, 218462822≥+12.88, 218462822≥+479055,margin ≥+20
IRT,DU3053535,3459,,70,1.79769313486232E+308,TRAIL,SELL,0.8,0,13.41,,False,GTC,,
IRT,DU3053535,3458,,70,1.79769313486232E+308,LMT,SELL,0,16.21,17.21,,True,GTC,,
IRT,DU3053535,3457,,70,1.79769313486232E+308,LMT,BUY,0,14.5,15.5,,True,GTC,,,20201228 09:30:00 EST, 132629528≥+14.21, 132629528≥+309691,margin ≥+20
IRWD,DU3053535,3456,,78,1.79769313486232E+308,TRAIL,SELL,0.76,0,11.98,,False,GTC,,
IRWD,DU3053535,3455,,78,1.79769313486232E+308,LMT,SELL,0,14.63,15.63,,True,GTC,,
IRWD,DU3053535,3454,,78,1.79769313486232E+308,LMT,BUY,0,12.99,13.99,,True,GTC,,,20201228 09:30:00 EST, 72384253≥+12.74, 72384253≥+743618,margin ≥+20
INFY,DU3053535,3469,,59,1.79769313486232E+308,LMT,BUY,0,17.19,18.19,,True,GTC,,,20201228 09:30:00 EST, 4813460≥+16.86, 4813460≥+861000,margin ≥+20
ING,DU3053535,3468,,97,1.79769313486232E+308,TRAIL,SELL,0.69,0,9.57,,False,GTC,,
ING,DU3053535,3467,,97,1.79769313486232E+308,LMT,SELL,0,11.97,12.97,,True,GTC,,
ING,DU3053535,3466,,97,1.79769313486232E+308,LMT,BUY,0,10.46,11.46,,True,GTC,,,20201228 09:30:00 EST, 2865956≥+10.25, 2865956≥+192073,margin ≥+20
INOV,DU3053535,3465,,48,1.79769313486232E+308,TRAIL,SELL,1.49,0,18.99,,False,GTC,,
INOV,DU3053535,3464,,48,1.79769313486232E+308,LMT,SELL,0,24.21,25.21,,True,GTC,,
INOV,DU3053535,3463,,48,1.79769313486232E+308,LMT,BUY,0,20.89,21.89,,True,GTC,,,20201228 09:30:00 EST, 183623073≥+20.48, 183623073≥+207327,margin ≥+20
INVA,DU3053535,3462,,77,1.79769313486232E+308,TRAIL,SELL,1.06,0,11.82,,False,GTC,,
IMO,DU3053535,3477,,48,1.79769313486232E+308,TRAIL,SELL,1.41,0,19.18,,False,GTC,,
IMO,DU3053535,3476,,48,1.79769313486232E+308,LMT,SELL,0,24.13,25.13,,True,GTC,,
IMO,DU3053535,3475,,48,1.79769313486232E+308,LMT,BUY,0,21.01,22.01,,True,GTC,,,20201228 09:30:00 EST, 5800707≥+20.6, 5800707≥+26473,margin ≥+20
IMPX,DU3053535,3474,,92,1.79769313486232E+308,TRAIL,SELL,0.58,0,10.22,,False,GTC,,
IMPX,DU3053535,3473,,92,1.79769313486232E+308,LMT,SELL,0,12.27,13.27,,True,GTC,,
IMPX,DU3053535,3472,,92,1.79769313486232E+308,LMT,BUY,0,11.03,12.03,,True,GTC,,,20201228 09:30:00 EST, 455575421≥+10.81, 455575421≥+33309,margin ≥+20
INFY,DU3053535,3471,,59,1.79769313486232E+308,TRAIL,SELL,0.82,0,16.04,,False,GTC,,
INFY,DU3053535,3470,,59,1.79769313486232E+308,LMT,SELL,0,18.9,19.9,,True,GTC,,
III,DU3053535,3485,,289,1.79769313486232E+308,LMT,SELL,0,4.23,5.23,,True,GTC,,
III,DU3053535,3484,,289,1.79769313486232E+308,LMT,BUY,0,3.52,4.52,,True,GTC,,,20201228 09:30:00 EST, 42870941≥+3.45, 42870941≥+67818,margin ≥+20
IMAX,DU3053535,3483,,57,1.79769313486232E+308,TRAIL,SELL,1.67,0,15.73,,False,GTC,,
IMAX,DU3053535,3482,,57,1.79769313486232E+308,LMT,SELL,0,21.59,22.59,,True,GTC,,
IMAX,DU3053535,3481,,57,1.79769313486232E+308,LMT,BUY,0,17.76,18.76,,True,GTC,,,20201228 09:30:00 EST, 4813359≥+17.41, 4813359≥+136364,margin ≥+20
IMMR,DU3053535,3480,,102,1.79769313486232E+308,TRAIL,SELL,0.84,0,8.89,,False,GTC,,
IMMR,DU3053535,3479,,102,1.79769313486232E+308,LMT,SELL,0,11.84,12.84,,True,GTC,,
IMMR,DU3053535,3478,,102,1.79769313486232E+308,LMT,BUY,0,9.93,10.93,,True,GTC,,,20201228 09:30:00 EST, 6278574≥+9.73, 6278574≥+78800,margin ≥+20
KELYA,DU3053535,3429,,43,1.79769313486232E+308,TRAIL,SELL,1.8,0,21.01,,False,GTC,,
KELYA,DU3053535,3428,,43,1.79769313486232E+308,LMT,SELL,0,27.3,28.3,,True,GTC,,
KELYA,DU3053535,3427,,43,1.79769313486232E+308,LMT,BUY,0,23.26,24.26,,True,GTC,,,20201228 09:30:00 EST, 270939≥+22.81, 270939≥+97327,margin ≥+20
KEP,DU3053535,3426,,80,1.79769313486232E+308,TRAIL,SELL,0.78,0,11.59,,False,GTC,,
KEP,DU3053535,3425,,80,1.79769313486232E+308,LMT,SELL,0,14.31,15.31,,True,GTC,,
KEP,DU3053535,3424,,80,1.79769313486232E+308,LMT,BUY,0,12.61,13.61,,True,GTC,,,20201228 09:30:00 EST, 8803≥+12.37, 8803≥+26745,margin ≥+20
KEY,DU3053535,3423,,58,1.79769313486232E+308,TRAIL,SELL,1.12,0,15.85,,False,GTC,,
KEY,DU3053535,3422,,58,1.79769313486232E+308,LMT,SELL,0,19.75,20.75,,True,GTC,,
JQC,DU3053535,3437,,156,1.79769313486232E+308,LMT,SELL,0,6.79,7.79,,True,GTC,,
JQC,DU3053535,3436,,156,1.79769313486232E+308,LMT,BUY,0,6.53,7.53,,True,GTC,,,20201228 09:30:00 EST, 18832912≥+6.4, 18832912≥+70055,margin ≥+20
KAR,DU3053535,3435,,49,1.79769313486232E+308,TRAIL,SELL,1.41,0,18.6,,False,GTC,,
KAR,DU3053535,3434,,49,1.79769313486232E+308,LMT,SELL,0,23.54,24.54,,True,GTC,,
KAR,DU3053535,3433,,49,1.79769313486232E+308,LMT,BUY,0,20.41,21.41,,True,GTC,,,20201228 09:30:00 EST, 70907405≥+20.01, 70907405≥+458109,margin ≥+20
KBAL,DU3053535,3432,,75,1.79769313486232E+308,TRAIL,SELL,0.98,0,12.2,,False,GTC,,
KBAL,DU3053535,3431,,75,1.79769313486232E+308,LMT,SELL,0,15.65,16.65,,True,GTC,,
KBAL,DU3053535,3430,,75,1.79769313486232E+308,LMT,BUY,0,13.45,14.45,,True,GTC,,,20201228 09:30:00 EST, 270927≥+13.19, 270927≥+98964,margin ≥+20
ITUB,DU3053535,3445,,150,1.79769313486232E+308,LMT,BUY,0,6.76,7.76,,True,GTC,,,20201228 09:30:00 EST, 58996617≥+6.63, 58996617≥+1768164,margin ≥+20
IVC,DU3053535,3444,,104,1.79769313486232E+308,TRAIL,SELL,0.85,0,8.7,,False,GTC,,
IVC,DU3053535,3443,,104,1.79769313486232E+308,LMT,SELL,0,11.67,12.67,,True,GTC,,
IVC,DU3053535,3442,,104,1.79769313486232E+308,LMT,BUY,0,9.74,10.74,,True,GTC,,,20201228 09:30:00 EST, 270777≥+9.55, 270777≥+77109,margin ≥+20
IVZ,DU3053535,3441,,53,1.79769313486232E+308,TRAIL,SELL,1.22,0,17.43,,False,GTC,,
IVZ,DU3053535,3440,,53,1.79769313486232E+308,LMT,SELL,0,21.71,22.71,,True,GTC,,
IVZ,DU3053535,3439,,53,1.79769313486232E+308,LMT,BUY,0,19.03,20.03,,True,GTC,,,20201228 09:30:00 EST, 47550606≥+18.65, 47550606≥+4042582,margin ≥+20
JQC,DU3053535,3438,,156,1.79769313486232E+308,TRAIL,SELL,0.16,0,6.25,,False,GTC,,
ISBC,DU3053535,3453,,92,1.79769313486232E+308,TRAIL,SELL,0.6,0,10.26,,False,GTC,,
ISBC,DU3053535,3452,,92,1.79769313486232E+308,LMT,SELL,0,12.38,13.38,,True,GTC,,
ISBC,DU3053535,3451,,92,1.79769313486232E+308,LMT,BUY,0,11.08,12.08,,True,GTC,,,20201228 09:30:00 EST, 150700033≥+10.86, 150700033≥+760455,margin ≥+20
ITI,DU3053535,3450,,158,1.79769313486232E+308,TRAIL,SELL,0.54,0,5.76,,False,GTC,,
ITI,DU3053535,3449,,158,1.79769313486232E+308,LMT,SELL,0,7.66,8.66,,True,GTC,,
ITI,DU3053535,3448,,158,1.79769313486232E+308,LMT,BUY,0,6.43,7.43,,True,GTC,,,20201228 09:30:00 EST, 272660≥+6.3, 272660≥+40418,margin ≥+20
ITUB,DU3053535,3447,,150,1.79769313486232E+308,TRAIL,SELL,0.45,0,6.18,,False,GTC,,
ITUB,DU3053535,3446,,150,1.79769313486232E+308,LMT,SELL,0,7.75,8.75,,True,GTC,,
MRTN,DU3053535,3269,,54,1.79769313486232E+308,LMT,SELL,0,20.99,21.99,,True,GTC,,
MRTN,DU3053535,3268,,54,1.79769313486232E+308,LMT,BUY,0,18.82,19.82,,True,GTC,,,20201228 09:30:00 EST, 272052≥+18.45, 272052≥+194564,margin ≥+20
MTG,DU3053535,3267,,76,1.79769313486232E+308,TRAIL,SELL,0.75,0,12.39,,False,GTC,,
MTG,DU3053535,3266,,76,1.79769313486232E+308,LMT,SELL,0,15.03,16.03,,True,GTC,,
MTG,DU3053535,3265,,76,1.79769313486232E+308,LMT,BUY,0,13.41,14.41,,True,GTC,,,20201228 09:30:00 EST, 9902≥+13.14, 9902≥+1425327,margin ≥+20
MTW,DU3053535,3264,,70,1.79769313486232E+308,TRAIL,SELL,1.07,0,13.2,,False,GTC,,
MTW,DU3053535,3263,,70,1.79769313486232E+308,LMT,SELL,0,16.94,17.94,,True,GTC,,
MTW,DU3053535,3262,,70,1.79769313486232E+308,LMT,BUY,0,14.55,15.55,,True,GTC,,,20201228 09:30:00 EST, 296448092≥+14.27, 296448092≥+195200,margin ≥+20
MOD,DU3053535,3277,,74,1.79769313486232E+308,LMT,BUY,0,13.62,14.62,,True,GTC,,,20201228 09:30:00 EST, 271952≥+13.35, 271952≥+123927,margin ≥+20
MOMO,DU3053535,3276,,68,1.79769313486232E+308,TRAIL,SELL,1.28,0,13.4,,False,GTC,,
MOMO,DU3053535,3275,,68,1.79769313486232E+308,LMT,SELL,0,17.87,18.87,,True,GTC,,
MOMO,DU3053535,3274,,68,1.79769313486232E+308,LMT,BUY,0,14.97,15.97,,True,GTC,,,20201228 09:30:00 EST, 176573143≥+14.68, 176573143≥+778109,margin ≥+20
MRC,DU3053535,3273,,136,1.79769313486232E+308,TRAIL,SELL,0.65,0,6.65,,False,GTC,,
MRC,DU3053535,3272,,136,1.79769313486232E+308,LMT,SELL,0,8.93,9.93,,True,GTC,,
MRC,DU3053535,3271,,136,1.79769313486232E+308,LMT,BUY,0,7.45,8.45,,True,GTC,,,20201228 09:30:00 EST, 105719985≥+7.3, 105719985≥+168055,margin ≥+20
MRTN,DU3053535,3270,,54,1.79769313486232E+308,TRAIL,SELL,1.02,0,17.43,,False,GTC,,
MNR,DU3053535,3285,,55,1.79769313486232E+308,TRAIL,SELL,1.13,0,16.76,,False,GTC,,
MNR,DU3053535,3284,,55,1.79769313486232E+308,LMT,SELL,0,20.7,21.7,,True,GTC,,
MNR,DU3053535,3283,,55,1.79769313486232E+308,LMT,BUY,0,18.24,19.24,,True,GTC,,,20201228 09:30:00 EST, 4815006≥+17.89, 4815006≥+348218,margin ≥+20
MNRL,DU3053535,3282,,81,1.79769313486232E+308,TRAIL,SELL,1.07,0,11.22,,False,GTC,,
MNRL,DU3053535,3281,,81,1.79769313486232E+308,LMT,SELL,0,14.98,15.98,,True,GTC,,
MNRL,DU3053535,3280,,81,1.79769313486232E+308,LMT,BUY,0,12.54,13.54,,True,GTC,,,20201228 09:30:00 EST, 360978693≥+12.29, 360978693≥+226982,margin ≥+20
MOD,DU3053535,3279,,74,1.79769313486232E+308,TRAIL,SELL,1.08,0,12.27,,False,GTC,,
MOD,DU3053535,3278,,74,1.79769313486232E+308,LMT,SELL,0,16.04,17.04,,True,GTC,,
MLCO,DU3053535,3293,,50,1.79769313486232E+308,LMT,SELL,0,22.58,23.58,,True,GTC,,
MLCO,DU3053535,3292,,50,1.79769313486232E+308,LMT,BUY,0,20.08,21.08,,True,GTC,,,20201228 09:30:00 EST, 41951960≥+19.69, 41951960≥+295818,margin ≥+20
MMX,DU3053535,3291,,180,1.79769313486232E+308,TRAIL,SELL,0.49,0,5.06,,False,GTC,,
MMX,DU3053535,3290,,180,1.79769313486232E+308,LMT,SELL,0,6.78,7.78,,True,GTC,,
MMX,DU3053535,3289,,180,1.79769313486232E+308,LMT,BUY,0,5.66,6.66,,True,GTC,,,20201228 09:30:00 EST, 367529075≥+5.55, 367529075≥+28364,margin ≥+20
MNOV,DU3053535,3288,,153,1.79769313486232E+308,TRAIL,SELL,0.56,0,5.94,,False,GTC,,
MNOV,DU3053535,3287,,153,1.79769313486232E+308,LMT,SELL,0,7.9,8.9,,True,GTC,,
MNOV,DU3053535,3286,,153,1.79769313486232E+308,LMT,BUY,0,6.63,7.63,,True,GTC,,,20201228 09:30:00 EST, 41950716≥+6.5, 41950716≥+151600,margin ≥+20
NEWT,DU3053535,3237,,51,1.79769313486232E+308,TRAIL,SELL,1.15,0,18.3,,False,GTC,,
NEWT,DU3053535,3236,,51,1.79769313486232E+308,LMT,SELL,0,22.34,23.34,,True,GTC,,
NEWT,DU3053535,3235,,51,1.79769313486232E+308,LMT,BUY,0,19.84,20.84,,True,GTC,,,20201228 09:30:00 EST, 171642734≥+19.45, 171642734≥+23345,margin ≥+20
NFBK,DU3053535,3234,,77,1.79769313486232E+308,TRAIL,SELL,0.75,0,12.16,,False,GTC,,
NFBK,DU3053535,3233,,77,1.79769313486232E+308,LMT,SELL,0,14.77,15.77,,True,GTC,,
NFBK,DU3053535,3232,,77,1.79769313486232E+308,LMT,BUY,0,13.16,14.16,,True,GTC,,,20201228 09:30:00 EST, 121467854≥+12.91, 121467854≥+182636,margin ≥+20
NG,DU3053535,3231,,89,1.79769313486232E+308,TRAIL,SELL,0.95,0,10.27,,False,GTC,,
NG,DU3053535,3230,,89,1.79769313486232E+308,LMT,SELL,0,13.58,14.58,,True,GTC,,
NAVI,DU3053535,3245,,97,1.79769313486232E+308,LMT,SELL,0,12.2,13.2,,True,GTC,,
NAVI,DU3053535,3244,,97,1.79769313486232E+308,LMT,BUY,0,10.45,11.45,,True,GTC,,,20201228 09:30:00 EST, 148782986≥+10.25, 148782986≥+938509,margin ≥+20
NCZ,DU3053535,3243,,193,1.79769313486232E+308,TRAIL,SELL,0.17,0,4.99,,False,GTC,,
NCZ,DU3053535,3242,,193,1.79769313486232E+308,LMT,SELL,0,5.58,6.58,,True,GTC,,
NCZ,DU3053535,3241,,193,1.79769313486232E+308,LMT,BUY,0,5.26,6.26,,True,GTC,,,20201228 09:30:00 EST, 120699430≥+5.16, 120699430≥+44291,margin ≥+20
NEA,DU3053535,3240,,66,1.79769313486232E+308,TRAIL,SELL,0.26,0,14.84,,False,GTC,,
NEA,DU3053535,3239,,66,1.79769313486232E+308,LMT,SELL,0,15.75,16.75,,True,GTC,,
NEA,DU3053535,3238,,66,1.79769313486232E+308,LMT,BUY,0,15.4,16.4,,True,GTC,,,20201228 09:30:00 EST, 17085357≥+15.1, 17085357≥+104145,margin ≥+20
MX,DU3053535,3253,,71,1.79769313486232E+308,LMT,BUY,0,14.27,15.27,,True,GTC,,,20201228 09:30:00 EST, 85258864≥+13.99, 85258864≥+44127,margin ≥+20
MYE,DU3053535,3252,,48,1.79769313486232E+308,TRAIL,SELL,1.59,0,19.08,,False,GTC,,
MYE,DU3053535,3251,,48,1.79769313486232E+308,LMT,SELL,0,24.63,25.63,,True,GTC,,
MYE,DU3053535,3250,,48,1.79769313486232E+308,LMT,BUY,0,21.08,22.08,,True,GTC,,,20201228 09:30:00 EST, 755768≥+20.67, 755768≥+125327,margin ≥+20
NAD,DU3053535,3249,,65,1.79769313486232E+308,TRAIL,SELL,0.21,0,15.05,,False,GTC,,
NAD,DU3053535,3248,,65,1.79769313486232E+308,LMT,SELL,0,15.8,16.8,,True,GTC,,
NAD,DU3053535,3247,,65,1.79769313486232E+308,LMT,BUY,0,15.57,16.57,,True,GTC,,,20201228 09:30:00 EST, 6608344≥+15.26, 6608344≥+88545,margin ≥+20
NAVI,DU3053535,3246,,97,1.79769313486232E+308,TRAIL,SELL,0.78,0,9.47,,False,GTC,,
MUFG,DU3053535,3261,,222,1.79769313486232E+308,TRAIL,SELL,0.15,0,4.33,,False,GTC,,
MUFG,DU3053535,3260,,222,1.79769313486232E+308,LMT,SELL,0,4.87,5.87,,True,GTC,,
MUFG,DU3053535,3259,,222,1.79769313486232E+308,LMT,BUY,0,4.58,5.58,,True,GTC,,,20201228 09:30:00 EST, 9394≥+4.49, 9394≥+80418,margin ≥+20
MWA,DU3053535,3258,,78,1.79769313486232E+308,TRAIL,SELL,0.6,0,12.08,,False,GTC,,
MWA,DU3053535,3257,,78,1.79769313486232E+308,LMT,SELL,0,14.19,15.19,,True,GTC,,
MWA,DU3053535,3256,,78,1.79769313486232E+308,LMT,BUY,0,12.94,13.94,,True,GTC,,,20201228 09:30:00 EST, 39429639≥+12.69, 39429639≥+309236,margin ≥+20
MX,DU3053535,3255,,71,1.79769313486232E+308,TRAIL,SELL,0.84,0,13.14,,False,GTC,,
MX,DU3053535,3254,,71,1.79769313486232E+308,LMT,SELL,0,16.09,17.09,,True,GTC,,
LUMN,DU3053535,3333,,92,1.79769313486232E+308,TRAIL,SELL,0.71,0,10.15,,False,GTC,,
LUMN,DU3053535,3332,,92,1.79769313486232E+308,LMT,SELL,0,12.64,13.64,,True,GTC,,
LUMN,DU3053535,3331,,92,1.79769313486232E+308,LMT,BUY,0,11.08,12.08,,True,GTC,,,20201228 09:30:00 EST, 6180≥+10.86, 6180≥+5466818,margin ≥+20
LXP,DU3053535,3330,,87,1.79769313486232E+308,TRAIL,SELL,0.54,0,10.84,,False,GTC,,
LXP,DU3053535,3329,,87,1.79769313486232E+308,LMT,SELL,0,12.72,13.72,,True,GTC,,
