,Account,Id,Ref,Qty,filled,Type,Action,Aux,Lmt,TrailStop,AlgoStrategy,LimitOffset,RTH,TIF,,
ALSK,DU3053535,8513,,256,1.79769313486232E+308,LMT,SELL,0,4.97,5.97,,1.79769313486232E+308,True,GTC,,
ALSK,DU3053535,8514,,256,1.79769313486232E+308,TRAIL LIMIT,SELL,0.36,0,3.54,,-1.77,True,GTC,,
APLE,DU3053535,8511,,71,1.79769313486232E+308,TRAIL LIMIT,SELL,0.9,0,13.03,,-6.52,True,GTC,,
ALSK,DU3053535,8512,,256,1.79769313486232E+308,LMT,BUY,0,3.98,4.98,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 6857405≥+3.9, 6857405≥+88127,margin ≥+20
AGRX,DU3053535,8517,,313,1.79769313486232E+308,TRAIL LIMIT,SELL,0.27,0,2.92,,-1.46,True,GTC,,
ABR,DU3053535,8518,,66,1.79769313486232E+308,LMT,BUY,0,15.4,16.4,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 29661257≥+15.1, 29661257≥+536945,margin ≥+20
AGRX,DU3053535,8515,,313,1.79769313486232E+308,LMT,BUY,0,3.25,4.25,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 152520360≥+3.19, 152520360≥+82909,margin ≥+20
AGRX,DU3053535,8516,,313,1.79769313486232E+308,LMT,SELL,0,4,5,,1.79769313486232E+308,True,GTC,,
ACCO,DU3053535,8505,,106,1.79769313486232E+308,TRAIL LIMIT,SELL,0.71,0,8.68,,-4.34,True,GTC,,
ATI,DU3053535,8506,,55,1.79769313486232E+308,LMT,BUY,0,18.35,19.35,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 1946967≥+17.99, 1946967≥+682691,margin ≥+20
ACCO,DU3053535,8503,,106,1.79769313486232E+308,LMT,BUY,0,9.58,10.58,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 35442319≥+9.39, 35442319≥+311927,margin ≥+20
ACCO,DU3053535,8504,,106,1.79769313486232E+308,LMT,SELL,0,11.54,12.54,,1.79769313486232E+308,True,GTC,,
APLE,DU3053535,8509,,71,1.79769313486232E+308,LMT,BUY,0,14.21,15.21,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 194322803≥+13.93, 194322803≥+614109,margin ≥+20
APLE,DU3053535,8510,,71,1.79769313486232E+308,LMT,SELL,0,16.65,17.65,,1.79769313486232E+308,True,GTC,,
ATI,DU3053535,8507,,55,1.79769313486232E+308,LMT,SELL,0,22.47,23.47,,1.79769313486232E+308,True,GTC,,
ATI,DU3053535,8508,,55,1.79769313486232E+308,TRAIL LIMIT,SELL,1.49,0,16.49,,-8.24,True,GTC,,
APG,DU3053535,8529,,52,1.79769313486232E+308,TRAIL LIMIT,SELL,1.38,0,17.8,,-8.9,True,GTC,,
AMRX,DU3053535,8530,,205,1.79769313486232E+308,LMT,BUY,0,4.97,5.97,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 316490716≥+4.87, 316490716≥+143509,margin ≥+20
APG,DU3053535,8527,,52,1.79769313486232E+308,LMT,BUY,0,19.57,20.57,,1.79769313486232E+308,True,GTC,,,20201229 09:30:00 EST, 419583227≥+19.19, 419583227≥+283800,margin ≥+20
