COLUMN,0,,
DES,CCI,STK,SMART/AMEX
DES,VZ,STK,SMART/AMEX
DES,T,STK,SMART/AMEX
DES,AMGN,STK,SMART/AMEX
DES,GILD,STK,SMART/AMEX
DES,ILMN,STK,SMART/AMEX
DES,BMRN,STK,SMART/AMEX
DES,VRTX,STK,SMART/AMEX
DES,QGEN,STK,SMART/AMEX
DES,ALXN,STK,SMART/AMEX
DES,PFE,STK,SMART/AMEX
DES,BMY,STK,SMART/AMEX
DES,JNJ,STK,SMART/AMEX
DES,MRK,STK,SMART/AMEX
DES,ABT,STK,SMART/AMEX
DES,LLY,STK,SMART/AMEX
DES,MDT,STK,SMART/AMEX
DES,BAX,STK,SMART/AMEX
DES,ARNA,STK,SMART/AMEX
DES,UNH,STK,SMART/AMEX
DES,HUM,STK,SMART/AMEX
DES,CI,STK,SMART/AMEX
DES,DGX,STK,SMART/AMEX
DES,ALL,STK,SMART/AMEX
DES,PGR,STK,SMART/AMEX
DES,TRV,STK,SMART/AMEX
DES,CB,STK,SMART/AMEX
DES,FNF,STK,SMART/AMEX
DES,WRB,STK,SMART/AMEX
DES,PFG,STK,SMART/AMEX
DES,AFL,STK,SMART/AMEX
DES,UNM,STK,SMART/AMEX
DES,LNC,STK,SMART/AMEX
DES,MFC,STK,SMART/AMEX
DES,MET,STK,SMART/AMEX
DES,XOM,STK,SMART/AMEX
DES,CVX,STK,SMART/AMEX
DES,COP,STK,SMART/AMEX
DES,OXY,STK,SMART/AMEX
DES,SLB,STK,SMART/AMEX
DES,DVN,STK,SMART/AMEX
DES,APA,STK,SMART/AMEX
DES,RIG,STK,SMART/AMEX
DES,EOG,STK,SMART/AMEX
DES,HES,STK,SMART/AMEX
DES,MRO,STK,SMART/AMEX
DES,HAL,STK,SMART/AMEX
DES,NOV,STK,SMART/AMEX
DES,WMB,STK,SMART/AMEX
DES,VLO,STK,SMART/AMEX
DES,SWN,STK,SMART/AMEX
DES,NBL,STK,SMART/AMEX
DES,NBR,STK,SMART/AMEX
DES,DD,STK,SMART/AMEX
DES,DOW,STK,SMART/AMEX
DES,LYB,STK,SMART/AMEX
DES,WLK,STK,SMART/AMEX
DES,APD,STK,SMART/AMEX
DES,FCX,STK,SMART/AMEX
DES,NEM,STK,SMART/AMEX
DES,FMC,STK,SMART/AMEX
DES,NUE,STK,SMART/AMEX
DES,PPG,STK,SMART/AMEX
DES,WY,STK,SMART/AMEX
DES,IP,STK,SMART/AMEX
DES,ATI,STK,SMART/AMEX
DES,AA,STK,SMART/AMEX
DES,DHI,STK,SMART/AMEX
DES,LEN,STK,SMART/AMEX
