COLUMN,0,,
DES,DLTR,STK,SMART/AMEX
DES,DG,STK,SMART/AMEX
DES,KSS,STK,SMART/AMEX
DES,M,STK,SMART/AMEX
DES,GPS,STK,SMART/AMEX
DES,JWN,STK,SMART/AMEX
DES,CVS,STK,SMART/AMEX
DES,GME,STK,SMART/AMEX
DES,BBBY,STK,SMART/AMEX
DES,BBY,STK,SMART/AMEX
DES,BIG,STK,SMART/AMEX
DES,ROST,STK,SMART/AMEX
DES,TJX,STK,SMART/AMEX
DES,COST,STK,SMART/AMEX
DES,TGT,STK,SMART/AMEX
DES,WMT,STK,SMART/AMEX
DES,LLNW,STK,SMART/AMEX
DES,NKE,STK,SMART/AMEX
DES,PINS,STK,SMART/AMEX
DES,MGM,STK,SMART/AMEX
DES,MCD,STK,SMART/AMEX
DES,CCL,STK,SMART/AMEX
DES,LYV,STK,SMART/AMEX
DES,WKHS,STK,SMART/AMEX
DES,DDOG,STK,SMART/AMEX
DES,KR,STK,SMART/AMEX
DES,WDC,STK,SMART/AMEX
DES,SIX,STK,SMART/AMEX
DES,SNAP,STK,SMART/AMEX
DES,ICE,STK,SMART/AMEX
DES,MAS,STK,SMART/AMEX
DES,AGNC,STK,SMART/AMEX
DES,ERIC,STK,SMART/AMEX
DES,NOK,STK,SMART/AMEX
DES,DELL,STK,SMART/AMEX
DES,PTON,STK,SMART/AMEX
DES,CLDR,STK,SMART/AMEX
DES,AXAS,STK,SMART/AMEX
DES,BIOC,STK,SMART/AMEX
DES,BORR,STK,SMART/AMEX
DES,BOXL,STK,SMART/AMEX
DES,BTE,STK,SMART/AMEX
DES,CDEV,STK,SMART/AMEX
DES,CETX,STK,SMART/AMEX
DES,CHFS,STK,SMART/AMEX
DES,DGLY,STK,SMART/AMEX
DES,DS,STK,SMART/AMEX
DES,FCEL,STK,SMART/AMEX
DES,GCI,STK,SMART/AMEX
DES,CPE,STK,SMART/AMEX
DES,ACST,STK,SMART/AMEX
DES,ADMS,STK,SMART/AMEX
DES,CIDM,STK,SMART/AMEX
DES,FRSX,STK,SMART/AMEX
DES,GNUS,STK,SMART/AMEX
DES,TTOO,STK,SMART/AMEX
DES,PG,STK,SMART/AMEX
DES,ZM,STK,SMART/AMEX
DES,GNW,STK,SMART/AMEX
DES,MNLO,STK,SMART/AMEX
DES,SFIX,STK,SMART/AMEX
DES,UBER,STK,SMART/AMEX
DES,UXIN,STK,SMART/AMEX
DES,IRM,STK,SMART/AMEX
DES,TLT,STK,SMART/AMEX
DES,AAPL,STK,SMART/AMEX
DES,AMD,STK,SMART/AMEX
DES,TSLA,STK,SMART/AMEX
DES,NOW,STK,SMART/AMEX
DES,LITE,STK,SMART/AMEX
DES,BYND,STK,SMART/AMEX
DES,MRNA,STK,SMART/AMEX
DES,NVDA,STK,SMART/AMEX
DES,DOCU,STK,SMART/AMEX
DES,F,STK,SMART/AMEX
DES,GE,STK,SMART/AMEX
DES,DIS,STK,SMART/AMEX
DES,GOOGL,STK,SMART/AMEX
DES,KO,STK,SMART/AMEX
DES,BSX,STK,SMART/AMEX
DES,PENN,STK,SMART/AMEX
DES,PVAC,STK,SMART/AMEX
DES,IDEX,STK,SMART/AMEX
DES,CMLS,STK,SMART/AMEX
DES,HPE,STK,SMART/AMEX
DES,SAVE,STK,SMART/AMEX
DES,WORK,STK,SMART/AMEX
DES,INO,STK,SMART/AMEX
DES,CRON,STK,SMART/AMEX
DES,BABA,STK,SMART/AMEX
DES,SHIP,STK,SMART/AMEX
DES,PEP,STK,SMART/AMEX
DES,PYPL,STK,SMART/AMEX
DES,TMO,STK,SMART/AMEX
DES,TWLO,STK,SMART/AMEX
DES,ACN,STK,SMART/AMEX
DES,NEE,STK,SMART/AMEX
DES,AVGO,STK,SMART/AMEX
DES,AMT,STK,SMART/AMEX
DES,PM,STK,SMART/AMEX
DES,LIN,STK,SMART/AMEX
DES,BILI,STK,SMART/AMEX
DES,NIO,STK,SMART/AMEX
DES,HON,STK,SMART/AMEX
DES,DHR,STK,SMART/AMEX
DES,RTX,STK,SMART/AMEX
DES,QCOM,STK,SMART/AMEX
DES,SBUX,STK,SMART/AMEX
DES,MMM,STK,SMART/AMEX
