COLUMN,0,
DES,FIS,STK,SMART/AMEX
DES,BLK,STK,SMART/AMEX
DES,SPGI,STK,SMART/AMEX
DES,MO,STK,SMART/AMEX
DES,MDLZ,STK,SMART/AMEX
DES,ANTM,STK,SMART/AMEX
DES,BKNG,STK,SMART/AMEX
DES,PLD,STK,SMART/AMEX
DES,BDX,STK,SMART/AMEX
DES,D,STK,SMART/AMEX
DES,CAT,STK,SMART/AMEX
DES,ZTS,STK,SMART/AMEX
DES,CME,STK,SMART/AMEX
DES,ISRG,STK,SMART/AMEX
DES,ADP,STK,SMART/AMEX
DES,SYK,STK,SMART/AMEX
DES,FISV,STK,SMART/AMEX
DES,CL,STK,SMART/AMEX
DES,REGN,STK,SMART/AMEX
DES,SMH,STK,SMART/AMEX
DES,PFF,STK,SMART/AMEX
DES,ACWI,STK,SMART/AMEX
DES,EMB,STK,SMART/AMEX
DES,VCIT,STK,SMART/AMEX
DES,IEF,STK,SMART/AMEX
DES,SHY,STK,SMART/AMEX
DES,ACOR,STK,SMART/AMEX
DES,SDC,STK,SMART/AMEX
DES,WVE,STK,SMART/AMEX
DES,FTCH,STK,SMART/AMEX
DES,CGC,STK,SMART/AMEX
DES,ITHUF,STK,SMART/AMEX
DES,SNDL,STK,SMART/AMEX
DES,CDW,STK,SMART/AMEX
DES,PBCT,STK,SMART/AMEX
DES,JMIA,STK,SMART/AMEX
DES,DISH,STK,SMART/AMEX
DES,CUBE,STK,SMART/AMEX
DES,ADPT,STK,SMART/AMEX
DES,WU,STK,SMART/AMEX
DES,TEVA,STK,SMART/AMEX
DES,OPGN,STK,SMART/AMEX
DES,MNK,STK,SMART/AMEX
DES,CRWD,STK,SMART/AMEX
DES,IHC,STK,SMART/AMEX
DES,SALT,STK,SMART/AMEX
DES,CRSP,STK,SMART/AMEX
DES,PS,STK,SMART/AMEX
DES,TIGR,STK,SMART/AMEX
DES,HOME,STK,SMART/AMEX
DES,UFPI,STK,SMART/AMEX
DES,NBEV,STK,SMART/AMEX
DES,AVTR,STK,SMART/AMEX
DES,CIM,STK,SMART/AMEX
DES,ZAGG,STK,SMART/AMEX
DES,MBIO,STK,SMART/AMEX
DES,NVAX,STK,SMART/AMEX
DES,ANAB,STK,SMART/AMEX
DES,EQT,STK,SMART/AMEX
DES,GRPN,STK,SMART/AMEX
DES,APRN,STK,SMART/AMEX
DES,PLNT,STK,SMART/AMEX
DES,MIST,STK,SMART/AMEX
DES,TLRY,STK,SMART/AMEX
DES,CLB,STK,SMART/AMEX
DES,SAGE,STK,SMART/AMEX
DES,VXRT,STK,SMART/AMEX
DES,NNBR,STK,SMART/AMEX
DES,SIG,STK,SMART/AMEX
DES,VLRS,STK,SMART/AMEX
DES,MRSN,STK,SMART/AMEX
DES,KLXE,STK,SMART/AMEX
DES,TUP,STK,SMART/AMEX
DES,TSN,STK,SMART/AMEX
DES,VMC,STK,SMART/AMEX
DES,MOS,STK,SMART/AMEX
DES,FNKO,STK,SMART/AMEX
DES,CINF,STK,SMART/AMEX
DES,FGEN,STK,SMART/AMEX
DES,VIR,STK,SMART/AMEX
DES,BNTX,STK,SMART/AMEX
DES,ENLV,STK,SMART/AMEX
DES,IBIO,STK,SMART/AMEX
DES,XNET,STK,SMART/AMEX
DES,OPK,STK,SMART/AMEX
DES,PTE,STK,SMART/AMEX
DES,FLDM,STK,SMART/AMEX
DES,CTIC,STK,SMART/AMEX
DES,INSG,STK,SMART/AMEX
DES,SNES,STK,SMART/AMEX
DES,NOVN,STK,SMART/AMEX
DES,INFN,STK,SMART/AMEX
DES,PSTI,STK,SMART/AMEX
DES,LEVI,STK,SMART/AMEX
DES,GRUB,STK,SMART/AMEX
DES,TMUS,STK,SMART/AMEX
DES,BGNE,STK,SMART/AMEX
DES,OSTK,STK,SMART/AMEX
DES,XP,STK,SMART/AMEX
DES,BMRA,STK,SMART/AMEX
DES,RPRX,STK,SMART/AMEX
DES,BLDR,STK,SMART/AMEX
DES,HLF,STK,SMART/AMEX
DES,PLUG,STK,SMART/AMEX
