Watchlist 'pennies1'

pennies1
Symbol,Last,Net Chng,Bid,Ask
AACTF,.2800,-.02,.2721,.2829
AAU,.4774,-.0005,.4764,.4849
ABBRF,.39530,-.0337,.39010,.40200
ACGBF,.3640,0,.3553,.3783
ACKRF,.2004,-.0096,.1890,.1976
ACST,.302400,-.0091,.301100,.302500
ADOM,.4130,-.007,.4130,.4150
ADXS,.3618,-.0009,.3619,.3630
AERG,.2900,0,.2741,.2950
AEZS,.415000,-.013,.415000,.422400
AFMJF,.3100,+.004,.2978,.3097
AGCBF,.2450,-.025,.2400,.2442
AJXGF,.4606,-.0394,.4611,.4615
ALBKY,.3300,+.00495,.3200,.3300
ALEAF,.3735,+.0064,.3735,.3800
AMHG,.4890,+.0001,.4250,.4890
AMIH,.2100,+.01,.2000,.2100
AMMXD,.39418,-.01582,.35750,.46000
AMYZF,.34135,-.02645,.33410,.34690
ANXGF,.4700,-.03,.4604,.4865
APAAF,.34828,-.01172,.35000,.36170
ARHTF,.2365,-.0035,.2408,.2516
ARSMF,.46539,-.05461,.44100,.46700
ASRT,.355100,-.0089,.355000,.355900
ATAO,.2700,-.0075,.2700,.2800
ATCMF,.4338,+.0038,.4300,.4430
AUMBF,.4600,+.078,.4420,.4669
AUXXF,.2374,+.0074,.2401,.2500
AVGR,.4023,-.029,.4022,.4078
AVHOQ,.3900,-.01,.3900,.4200
AXIM,.4700,-.03,.4600,.4700
AZASF,.2919,+.0144,.2700,.2850
AZKLF,.3333,-.0019,.3333,.3560
AZZTF,.2943,-.0057,.2796,.2907
AZZUF,.2035,-.0165,.2000,.2050
BACHF,.3300,0,.3300,.3500
BASA,.3100,+.005,.3000,.3100
BBBXF,.2250,0,.2150,.2193
BBKCF,.4398,-.0477,.4300,.4403
BCII,.3300,-.0274,.3300,.3490
BDRBF,.3800,0,.3786,.3800
BFGC,.27535,-.00465,.27200,.27570
BGADF,.20330,+.0231,0,.00010
BILZF,.45551,+.00551,.45880,.48990
BKRKF,.3150,0,.2650,.3150
BMMJ,.3700,+.01795,.3638,.3767
BPSR,.2000,0,.1900,.2000
BRFH,.3564,-.0436,.3700,.4100
BTCS,.2300,-.004,.2300,.2350
BTCWF,.390000,-.05,.373600,.392300
BUDZ,.24325,+.00325,.24000,.24500
BYAGF,.21868,-.02132,.20900,.25000
CATPF,.26861,0,<empty>,<empty>
CBULF,.299754,-.030246,.284200,.302000
CBWTF,.20860,-.0024,.20500,.20770
CCWOF,.4050,+.001,.4100,.4149
CEXPF,.226250,-.00875,.223000,.230700
CHEK,.360300,-.0097,.360000,.363100
CHKKF,.4535,+.004,.4500,.4552
CHKR,.2000,+.002,.1952,.2000
CLUBQ,.2499,-.0001,.2000,.2499
CMXC,.2850,0,.2850,.2900
CNBX,.2530,-.00105,.2530,.2551
CNTTQ,.2591,+.0191,.2591,.2659
COPRF,.2640,-.026,.2640,.2900
CORG,.2999,+.0049,.2950,.3000
COUV,.43800,+.122,.43740,.43800
CPHI,.4700,-.0349,.4684,.4884
CPIVF,.2400,+.0039,<empty>,<empty>
CPMD,.4515,-.0435,.4100,.4500
CPNFF,.2502,+.0102,.2340,.2600
CVSI,.4700,-.00155,.4670,.4800
CVVUF,.3614,-.0086,.3409,.3614
CWEGF,.4260,0,.4260,.4330
CWRK,.3030,+.023,.3030,.3063
DCNPF,.2200,-.02,.2200,.2312
DFCO,.3100,+.0309,.2712,.3100
DRVD,.4100,-.02,.4001,.4500
DTRC,.4610,0,.4300,.4800
DXLG,.2220,-.001,.2220,.2254
DYFSF,.4697,+.029,.4519,.4702
DYLLF,.4000,+.0235,.3800,.4000
ECRFF,.21289,-.01711,.17800,.30000
EGFEY,.3600,-.002,.3550,.3800
EGLPF,.4397,-.0133,.4350,.4428
EMGCQ,.2700,0,.2500,.2698
EMRRF,.2720,0,.2441,.2800
ENKS,.3755,+.1835,.3610,.3900
ENZN,.24,-.0001,.24,.25
EPGG,.3820,-.0279,.3750,.3800
EPWCF,.2300,0,.2213,.2250
ERDCF,.31655,-.01595,.31120,.32200
