Watchlist 'stock20-50'

stock20-50
Symbol,Last,Net Chng,Bid,Ask
AA,21.505,-.735,21.46,21.55
AAGIY,48.33,-.65,48.34,48.77
AAT,28.93,+.01,28.84,29.08
AB,33.2866,+.1566,33.12,33.40
ABB,28.045,+.185,28.04,28.05
ABCB,38.14,+.15,37.99,38.19
ABM,38.555,+.105,38.35,38.77
ABTX,34.08,+.18,33.35,34.25
ACC,42.765,-.065,42.70,42.83
ACCD,45.79,-1.55,45.72,46.05
ACGL,35.40,+.07,35.35,35.43
ACHC,48.44,+.02,48.29,48.60
ACIW,38.255,+.035,38.22,38.36
ACLS,28.90,-.21,28.79,28.93
ACM,48.27,+.06,48.21,48.31
ADCT,35.42,+.11,34.66,35.54
ADM,49.82,+.12,49.78,49.82
ADNT,34.305,-.185,34.22,34.39
ADRNY,28.96,+.23,28.97,29.00
ADYEY,47.60,+.20,47.60,47.67
AEL,27.36,-.01,27.29,27.36
AEO,20.045,-.155,20.04,20.05
AER,45.00,+.72,44.78,45.08
AES,23.39,+.09,23.38,23.39
AEYE,24.90,-.33,24.46,25.50
AFIB,30.8625,-.0175,30.57,31.42
AFL,44.0263,+.1063,44.00,44.03
AFYA,25.365,+.205,25.20,25.53
AGIO,45.00,+.46,44.71,44.99
AGO,31.24,-.40,31.24,31.34
AGR,45.84,+.39,45.73,45.87
AGX,45.2367,+.4667,44.95,45.36
AGYS,39.60,-.20,39.56,40.00
AHCO,37.55,-.25,37.43,37.69
AHKSY,20.23,+.16,20.35,20.81
AIG,37.14,+.07,37.13,37.16
AIO,26.5183,-.3417,26.42,26.60
AIQUY,33.42,+.21,33.42,33.45
AIR,35.555,-.225,35.41,35.69
AKRO,25.435,-.195,25.16,25.73
AKUS,20.01,-.17,20.00,20.26
AL,43.40,+.08,43.18,43.41
ALBO,37.05,+.03,36.72,37.05
ALGS,28.10,-.50,28.20,28.59
ALIZY,24.77,+.09,24.73,24.77
ALKS,21.25,0,21.22,21.29
ALLO,26.915,-.105,26.90,27.13
ALLY,34.74,-.24,34.73,34.75
ALSN,43.12,-.31,43.04,43.28
ALTM,44.91,-.11,44.79,46.98
ALVR,38.675,-.035,38.00,39.35
AMCX,34.20,0,34.18,34.36
AMH,29.875,+.025,29.83,29.87
AMK,24.10,0,23.97,24.38
AMRK,26.0652,+.1052,25.60,26.15
AMSC,23.90,-1.20,23.90,24.15
AMSYF,22.30,0,22.75,23.55
AMTI,34.09,+.31,33.51,34.45
AMWL,27.13,-.45,27.13,27.25
ANAB,21.41,-.31,21.28,21.61
ANDE,23.76,-.32,23.89,24.24
ANF,20.08,-.33,20.09,20.16
ANIK,44.8517,+.6617,43.54,44.78
ANIP,28.44,+.40,28.02,28.45
ANNX,28.69,-.04,27.81,29.00
AOSL,23.1165,-.8535,23.00,23.30
APAM,49.15,-.12,49.10,49.56
APEI,31.105,-.185,31.10,31.62
API,39.70,-.23,39.63,39.80
APLT,21.98,-.29,21.95,22.47
APO,48.5462,+.1862,48.29,48.57
APOG,32.80,-.15,32.69,32.95
APVO,33.20,-1.02,33.04,33.27
AQUA,26.92,-.12,26.84,26.94
ARCB,43.2954,+.0154,43.06,43.70
ARCE,36.985,+.795,35.62,37.35
ARCH,40.51,-.89,40.44,41.03
ARCT,44.50,-47.92,44.50,44.70
ARES,48.83,+.29,48.78,48.87
ARGGD,25.86,+1.15,25.86,26.15
ARGO,43.72,+.20,43.09,43.84
ARMK,37.605,+.115,37.50,37.69
ARNC,28.39,-.82,28.35,28.43
ARQT,29.00,-.25,28.64,30.55
ARRY,41.875,-1.535,41.79,41.96
ASA,21.55,0,21.63,21.87
ASAN,28.79,-.02,28.60,28.80
ASO,20.74,-.14,20.64,20.80
ATEX,37.425,-.565,37.54,38.10
ATGE,33.75,-.30,33.65,33.77
ATH,41.89,-.39,41.83,42.00
ATHA,31.90,-.04,31.50,32.33
ATKR,40.70,-.37,40.51,40.79
ATRA,20.96,-.20,20.80,21.09
ATSG,30.91,-.14,30.79,31.03
ATUS,36.99,+.07,36.98,36.99
AU,23.09,+.28,23.08,23.09
AUB,33.39,+.13,32.74,33.35
AUDC,28.56,-.12,28.58,28.65
AVA,40.4695,+.0495,40.37,40.63
AVNS,46.465,+.035,46.27,46.64
AVNT,39.87,-.36,39.73,39.90
AVNW,35.80,+.33,35.15,35.51
AVT,35.10,-.11,35.05,35.14
AVTR,27.05,+.13,27.01,27.03
