Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW
03/01/2012,0.2955,0.2837,0.2955,0.2837
04/01/2012,0.2798,0.2798,0.2798,0.2798
05/01/2012,0.2719,0.2758,0.2798,0.2719
06/01/2012,0.268,0.2719,0.2719,0.268
09/01/2012,0.2758,0.2758,0.2758,0.2758
10/01/2012,0.2758,0.2758,0.2758,0.2758
11/01/2012,0.2837,0.2916,0.2916,0.2758
12/01/2012,0.2798,0.2798,0.2837,0.2798
13/01/2012,0.2837,0.2837,0.2837,0.2837
16/01/2012,0.2877,0.2877,0.2877,0.2877
17/01/2012,0.2916,0.2955,0.2995,0.2877
18/01/2012,0.2877,0.2837,0.2877,0.2837
19/01/2012,0.2877,0.2837,0.2995,0.2837
20/01/2012,0.2877,0.2955,0.2955,0.2837
25/01/2012,0.2955,0.2916,0.2995,0.2916
26/01/2012,0.2916,0.2955,0.2955,0.2916
27/01/2012,0.2995,0.2995,0.3034,0.2916
30/01/2012,0.2995,0.2995,0.2995,0.2995
31/01/2012,0.3074,0.2995,0.3074,0.2916
01/02/2012,0.3034,0.3074,0.3113,0.3034
02/02/2012,0.3152,0.3034,0.3192,0.3034
03/02/2012,0.3034,0.3113,0.3113,0.3034
06/02/2012,0.3074,0.3074,0.3113,0.3074
07/02/2012,0.3113,0.3113,0.3113,0.3074
08/02/2012,0.3113,0.3074,0.3152,0.3074
09/02/2012,0.3074,0.3074,0.3113,0.3074
10/02/2012,0.3074,0.3074,0.3152,0.3034
13/02/2012,0.3152,0.3074,0.3152,0.3074
14/02/2012,0.3074,0.3113,0.3113,0.3074
15/02/2012,0.3152,0.3074,0.3231,0.3074
16/02/2012,0.2995,0.3152,0.3152,0.2995
17/02/2012,0.3034,0.3034,0.3034,0.2955
20/02/2012,0.3034,0.3034,0.3074,0.2995
21/02/2012,0.2995,0.3074,0.3113,0.2995
22/02/2012,0.3034,0.3034,0.3074,0.2995
23/02/2012,0.2995,0.3034,0.3034,0.2955
24/02/2012,0.2955,0.2995,0.2995,0.2955
27/02/2012,0.2955,0.2955,0.2995,0.2916
28/02/2012,0.2955,0.2955,0.3074,0.2916
29/02/2012,0.2798,0.2916,0.2995,0.2758
01/03/2012,0.2877,0.2877,0.2877,0.2837
02/03/2012,0.2837,0.2877,0.2916,0.2837
05/03/2012,0.2916,0.2916,0.2916,0.2837
06/03/2012,0.2896,0.2936,0.2936,0.2856
07/03/2012,0.2896,0.2896,0.2896,0.2815
08/03/2012,0.2896,0.2896,0.2936,0.2896
09/03/2012,0.2896,0.2936,0.2936,0.2896
12/03/2012,0.2936,0.2936,0.2976,0.2896
13/03/2012,0.3177,0.3137,0.3218,0.3057
14/03/2012,0.3137,0.3218,0.3218,0.3137
15/03/2012,0.3137,0.3177,0.3177,0.3137
16/03/2012,0.3017,0.3137,0.3177,0.3017
19/03/2012,0.3097,0.3057,0.3137,0.3057
20/03/2012,0.3097,0.3097,0.3137,0.3097
21/03/2012,0.3218,0.3097,0.3258,0.3097
22/03/2012,0.3218,0.3218,0.3298,0.3218
23/03/2012,0.3218,0.3218,0.3218,0.3218
26/03/2012,0.3218,0.3218,0.3218,0.3177
27/03/2012,0.3218,0.3258,0.3258,0.3218
28/03/2012,0.3177,0.3218,0.3218,0.3177
29/03/2012,0.3137,0.3137,0.3177,0.3137
30/03/2012,0.3137,0.3137,0.3137,0.3137
02/04/2012,0.3218,0.3177,0.3218,0.3137
03/04/2012,0.3137,0.3218,0.3218,0.3137
04/04/2012,0.3097,0.3137,0.3137,0.3097
05/04/2012,0.3097,0.3097,0.3097,0.3097
09/04/2012,0.3097,0.3097,0.3137,0.3097
10/04/2012,0.3177,0.3097,0.3177,0.3057
11/04/2012,0.3097,0.3177,0.3177,0.3097
12/04/2012,0.3137,0.3097,0.3137,0.3097
13/04/2012,0.3097,0.3137,0.3177,0.3097
16/04/2012,0.3097,0.3097,0.3097,0.3097
17/04/2012,0.3097,0.3137,0.3137,0.3097
18/04/2012,0.3097,0.3097,0.3137,0.3097
19/04/2012,0.3539,0.3097,0.3539,0.3097
20/04/2012,0.3741,0.358,0.3821,0.3539
23/04/2012,0.3499,0.37,0.37,0.3419
24/04/2012,0.3539,0.3459,0.366,0.3459
25/04/2012,0.3539,0.3539,0.362,0.3459
26/04/2012,0.366,0.3539,0.37,0.3539
