This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Watchlist 'daily'

daily
Symbol,Last,%Change,Bid,Ask
ZM,179.48,+9.74%,182.30,182.50
WMT,124.06,+0.30%,124.00,124.05
VTIQ,28.70,+4.36%,29.02,29.25
USO,25.88,+3.40%,26.00,26.08
ULTA,244.01,+0.29%,245.51,247.99
UAL,28.04,-2.94%,28.73,28.80
TWLO,197.60,+3.24%,197.60,199.00
TSLA,835.00,+3.62%,842.00,842.75
TDOC,174.06,+4.29%,173.50,174.90
SPY,304.32,+0.45%,305.00,306.13
SPCE,17.04,+3.46%,17.22,17.23
SHOP,757.80,+1.80%,758.11,761.99
ROKU,109.51,+0.28%,109.68,109.75
NVDA,355.02,+4.58%,354.06,354.50
NOW,387.93,+2.63%,388.30,389.93
NFLX,419.73,+1.52%,419.00,419.79
NEM,58.47,-0.43%,58.72,58.89
MSFT,183.25,+1.02%,183.70,183.88
MRNA,61.50,+10.73%,62.34,62.40
HD,248.48,+1.36%,249.08,250.48
FB,225.09,-0.16%,225.38,225.41
DIS,117.30,+0.47%,117.62,117.70
BYND,128.29,+6.18%,128.75,128.90
BAC,24.12,-2.98%,24.27,24.38
BA,145.85,-2.65%,146.75,146.84
AMZN,2442.37,+1.72%,2443.00,2444.00
AMD,53.80,+3.98%,53.76,53.77
AAPL,317.94,-0.10%,318.90,319.05
AAL,10.50,-4.37%,10.74,10.75
