This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Watchlist 'guides'

guides
Symbol,Last,%Change,Bid,Ask
$VOLD,-719590666.00,+49.81%,<empty>,<empty>
$UVOL,840116.00,+206.77%,<empty>,<empty>
$TICKC/Q,174.00,-122.66%,<empty>,<empty>
$TICKC,51.00,-115.36%,<empty>,<empty>
$TICK/Q,317.00,-144.84%,<empty>,<empty>
$TICK,92.00,-121.65%,<empty>,<empty>
$PCSP,.7039,+13.02%,<empty>,<empty>
$DVOL,1559706.00,+106.80%,<empty>,<empty>
$CPCE,.8005,+6.17%,<empty>,<empty>
$CPC,.9285,+8.76%,<empty>,<empty>
$ADDC,-176.00,-56.11%,<empty>,<empty>
$ADD,-105.00,-78.83%,<empty>,<empty>
