This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Watchlist 'US base'

US base
Symbol,Last,%Change,Bid,Ask
VXX,33.13,-3.92%,33.10,33.20
VOO,279.75,+0.45%,280.25,281.45
VIX,27.51,-3.78%,<empty>,<empty>
USO,25.88,+3.40%,26.00,26.08
SPY,304.32,+0.45%,305.00,306.13
SPXX,13.02,0.00%,12.18,15.43
SPXU,13.05,-1.06%,12.80,12.84
SPXL,40.53,+1.07%,41.00,44.29
SPX,3044.31,+0.48%,3016.13,3159.93
OXY,12.95,-5.06%,13.15,13.20
NUGT,69.58,+2.01%,69.51,70.00
NDX,9555.5248,+1.47%,<empty>,<empty>
NDAQ,118.46,+1.80%,115.00,119.30
JNUG,97.58,+4.64%,97.81,98.48
JDST,20.94,-4.90%,20.60,21.00
GLD,162.91,+0.74%,162.71,162.99
DUST,29.54,-2.28%,29.30,30.00
DGLD,16.59,-2.18%,16.25,26.26
