This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

Watchlist 'US co2'

US co2
Symbol,Last,%Change,Bid,Ask
WMT,124.06,+0.30%,124.00,124.05
WFC,26.47,-2.76%,26.65,26.69
TWLO,197.60,+3.24%,197.60,199.00
TTD,311.56,+4.49%,311.58,312.65
SPOT,180.93,+2.09%,181.50,183.89
SPG,57.70,-3.43%,57.81,58.15
SPCE,17.04,+3.46%,17.22,17.23
RH,216.89,+3.15%,217.61,219.90
PEP,131.55,-0.56%,131.94,132.19
NKE,98.58,+0.37%,98.81,99.19
NCLH,15.66,-2.55%,15.88,15.90
MU,47.91,+3.10%,47.90,47.95
MA,300.89,-0.47%,302.01,302.49
KO,46.68,-0.87%,46.73,46.99
INTC,62.93,+1.99%,63.00,63.30
GOOGL,1433.52,+1.08%,1435.02,1439.49
GM,25.88,-3.00%,25.95,26.34
GE,6.57,-3.10%,6.57,6.61
FB,225.09,-0.16%,225.38,225.41
F,5.71,-2.39%,5.71,5.73
EBAY,45.54,+2.96%,45.55,45.77
DDOG,71.27,+6.17%,70.70,71.10
DB,8.40,-1.29%,8.20,8.50
DAL,25.21,-1.75%,25.50,25.55
CSCO,47.82,+4.88%,47.51,47.65
CORE,27.98,+0.90%,19.88,40.15
CMCSA,39.60,+0.13%,39.61,39.89
CLX,206.25,+0.63%,206.25,206.55
CHWD,<empty>,<empty>,<empty>,<empty>
C,47.91,-2.54%,48.18,48.19
BYND,128.29,+6.18%,128.75,128.90
BP,23.14,-0.52%,23.18,23.31
BMY,59.72,-0.15%,59.74,59.89
BIDU,106.55,+0.22%,105.98,106.74
BACHY,9.15,+0.77%,9.06,9.20
BABA,207.39,+3.96%,205.75,206.00
BA,145.85,-2.65%,146.75,146.84
AVGO,291.27,+2.87%,292.01,293.55
ATVI,71.98,+2.51%,71.98,72.21
AMGN,229.70,+2.49%,229.05,231.00
ADBE,386.60,+1.78%,386.75,388.00
ABT,94.92,+3.06%,94.25,94.85
ABBV,92.67,+2.93%,92.05,92.91
AAL,10.50,-4.37%,10.74,10.75
